author_id,award_year,pre_avg_citations,post_avg_citations,pre_avg_works,post_avg_works,lift_citations,lift_works,conference,author_position,group,treatment
A5013511053,2018,85.0,161.6,3.0,5.4,1.9011764705882352,1.8,SODA,middle,nonaward,
A5013553389,2007,131.0,24.6,3.0,3.2,0.1877862595419847,1.0666666666666669,SOSP,first,nonaward,
A5013557732,2016,196.8,1.8,1.2,0.4,0.0091463414634146,0.3333333333333333,OSDI,middle,nonaward,
A5013834800,2017,103.2,37.8,15.4,13.4,0.3662790697674418,0.8701298701298701,S&P,first,nonaward,
A5013873679,2016,30.4,27.6,4.8,5.8,0.9078947368421052,1.2083333333333333,STOC,first,nonaward,
A5013989748,2013,164.4,263.8,7.0,3.8,1.6046228710462287,0.5428571428571428,ICSE,middle,nonaward,
A5014163352,2007,41.0,2.4,2.2,0.6,0.0585365853658536,0.2727272727272727,IJCAI,last,nonaward,
A5014342735,2006,461.2,1897.0,12.8,41.0,4.113183000867303,3.203125,ICML,middle,nonaward,
A5014626719,2018,0.0,0.0,0.0,0.0,,,OSDI,middle,nonaward,
A5014691067,2013,0.0,48.8,0.0,1.6,,,AAAI,first,nonaward,
A5014952908,2011,11.8,70.0,1.6,1.6,5.932203389830508,1.0,AAAI,middle,nonaward,
A5015035219,2006,296.4,116.4,6.8,4.4,0.3927125506072875,0.6470588235294118,ICML,middle,nonaward,
A5015166762,2004,6.8,46.6,1.0,4.4,6.852941176470589,4.4,ACL,middle,nonaward,
A5015170324,2009,8.0,3.2,3.6,4.0,0.4,1.1111111111111112,SOSP,first,nonaward,
A5015319740,2003,27.2,86.4,0.8,3.2,3.1764705882352944,4.0,IJCAI,middle,nonaward,
A5015817476,2006,117.8,3958.4,5.6,38.8,33.602716468590835,6.928571428571429,ICML,middle,nonaward,
A5015845450,2016,87.0,19.4,1.8,0.4,0.2229885057471264,0.2222222222222222,ICSE,middle,nonaward,
A5015863866,2008,419.4,263.2,10.2,9.6,0.6275631855030996,0.9411764705882352,OSDI,middle,nonaward,
A5015863866,2016,357.2,220.4,10.8,8.8,0.6170212765957447,0.8148148148148149,OSDI,middle,nonaward,
A5015863866,2018,495.6,46.4,11.8,4.8,0.0936238902340597,0.4067796610169491,OSDI,middle,nonaward,
A5015950959,2003,63.6,44.6,2.6,3.0,0.7012578616352201,1.1538461538461535,IJCAI,first,nonaward,
A5015957810,2012,164.6,92.0,6.6,2.2,0.5589307411907655,0.3333333333333333,SODA,middle,nonaward,
A5016106696,2003,0.0,0.0,0.0,0.0,,,FSE,middle,nonaward,
A5016231702,2018,579.4,354.4,16.8,10.6,0.6116672419744563,0.6309523809523809,SODA,middle,nonaward,
A5016275191,2017,0.0,1.2,0.0,0.2,,,VLDB,middle,nonaward,
A5016327228,2009,0.0,15.8,0.2,0.2,,1.0,CHI,first,nonaward,
A5016372005,2012,0.2,0.0,0.8,0.2,0.0,0.25,KDD,first,nonaward,
A5016412107,2018,200.4,414.8,6.0,10.4,2.0698602794411176,1.7333333333333334,ICML,middle,nonaward,
A5016448581,2017,1703.8,1667.4,41.6,54.4,0.9786359901396878,1.3076923076923077,NeurIPS,middle,nonaward,
A5016462041,2012,138.4,340.6,13.8,8.4,2.4609826589595376,0.6086956521739131,AAAI,last,nonaward,
A5016537835,2010,237.4,307.6,2.6,5.8,1.295703454085931,2.230769230769231,STOC,last,nonaward,
