award_id,conference,year,award_title,best_score
130,CHI,2015,VelociTap: Investigating Fast Mobile Text Entry using Sentence-Based Decoding of Touchscreen Keyboard Input,0
131,CHI,2015,What Makes Interruptions Disruptive?: A Process-Model Account of the Effects of the Problem State Bottleneck on Task Interruption and Resumption,40
134,CHI,2015,Sangeet Swara: A Community-Moderated Voice Forum in Rural India,0
136,CHI,2015,Patina Engraver: Visualizing Activity Logs as Patina in Fashionable Trackers,0
137,CHI,2015,Fluid Grouping: Quantifying Group Engagement around Interactive Tabletop Exhibits in the Wild,0
139,CHI,2015,BaseLase: An Interactive Focus+Context Laser Floor,0
140,CHI,2015,Tiree Energy Pulse: Exploring Renewable Energy Forecasts on the Edge of the Grid,0
143,CHI,2015,From User-Centered to Adoption-Centered Design: A Case Study of an HCI Research Innovation Becoming a Product,38
144,CHI,2015,"Acoustruments: Passive, Acoustically-Driven, Interactive Controls for Handheld Devices",12
145,CHI,2015,"The Heart Work of Wikipedia: Gendered, Emotional Labor in the World's Largest Online Encyclopedia",28
147,CHI,2015,Sharing is Caring: Assistive Technology Designs on Thingiverse,39
148,CHI,2015,"""I always assumed that I wasn't really that close to [her]"": Reasoning about Invisible Algorithms in News Feeds",28
149,CHI,2015,ColourID: Improving Colour Identification for People with Impaired Colour Vision,0
163,SIGMOD,2015,"DBSCAN Revisited: Mis-Claim, Un-Fixability, and Approximation",0
164,SOSP,2015,Pivot Tracing: Dynamic Causal Monitoring for Distributed Systems,40
166,SOSP,2015,Coz: Finding Code that Counts with Causal Profiling,29
167,CHI,2014,Consumed Endurance: A Metric to Quantify Arm Fatigue of Mid-Air Interactions,28
168,CHI,2014,Duet: Exploring Joint Interactions on a Smart Phone and a Smart Watch,40
169,CHI,2014,Type-Hover-Swipe in 96 Bytes: A Motion Sensing Mechanical Keyboard,0
171,CHI,2014,MixFab: a Mixed-Reality Environment for Personal Fabrication,33
172,CHI,2014,Growing Closer on Meta: Changes in Tie Strength Through Social Network Site Use,40
173,CHI,2014,"Emerging Sites of HCI Innovation: Hackerspaces, Hardware Startups & Incubators",17
174,CHI,2014,"Designing for Slowness, Anticipation and Re-visitation: A Long Term Field Study of the Photobox",0
177,CHI,2014,"""Narco"" Emotions: Affect and Desensitization in Social Media during the Mexican Drug War",38
181,CHI,2014,RetroDepth: 3D Silhouette Sensing for High-Precision Input On and Above Physical Surfaces,20
183,CHI,2014,Making Sustainability Sustainable: Challenges in the Design of Eco-Interaction Technologies,41
195,NeurIPS,2014,A* Sampling,44
196,OSDI,2014,Arrakis: The Operating System is the Control Plane,40
205,CHI,2013,"What is ""Critical"" About Critical Design?",26
206,CHI,2013,The Dubuque Electricity Portal: Evaluation of a City-Scale Residential Electricity Consumption Feedback System,20
208,CHI,2013,SPRWeb: Preserving Subjective Responses to Website Colour Schemes through Automatic Recolouring,0
210,CHI,2013,"Mind the Theoretical Gap: Interpreting, Using, and Developing Behavioral Theory in HCI Research",35
211,CHI,2013,Turkopticon: Interrupting Worker Invisibility in Amazon Mechanical Turk,0
212,CHI,2013,IllumiRoom: Peripheral Projected Illusions for Interactive Experiences,31
213,CHI,2013,Webzeitgeist: Design Mining the Web,51
214,CHI,2013,LaserOrigami: Laser-Cutting 3D Objects,48
216,CHI,2013,Job Opportunities through Entertainment: Virally Spread Speech-Based Services for Low-Literate Users,36
218,CHI,2013,Screenfinity: Extending the Perception Area of Content on Very Large Public Displays,0
220,CHI,2013,"The Many Faces of Meta: Experiencing Social Media as Performance, Exhibition, and Personal Archive",39
234,PLDI,2013,Static Analysis for Probabilistic Programs: Inferring Whole Program Properties from Finitely Many Paths,37
237,SOSP,2013,The Scalable Commutativity Rule: Designing Scalable Software for Multicore Processors,53
238,SOSP,2013,Towards optimization-safe systems: analyzing the impact of undefined behavior,24
239,SOSP,2013,Naiad: A Timely Dataflow System,32
243,CHI,2012,Communitysourcing: Engaging Local Crowds to Perform Expert Work Via Physical Kiosks,0
244,CHI,2012,"Touché: Enhancing Touch Interaction on Humans, Screens, Liquids, and Everyday Objects",0
247,CHI,2012,Looking Glass: A Field Study on Noticing Interactivity of Shop Windows,32
248,CHI,2012,Affordances in HCI: Toward a Mediated Action Perspective,32
249,CHI,2012,Personas and Decision Making in the Design Process: An Ethnographic Case Study,78
251,CHI,2012,Revisiting the Jacquard Loom: Threads of History and Current Patterns in HCI,0
253,CHI,2012,ClayVision: The (Elastic) Image of the City,0
265,CHI,2011,Bricolage: Example-Based Retargeting for Web Design,0
266,CHI,2011,Teenagers and Their Virtual Possessions: Design Opportunities and Issues,70
268,CHI,2011,Why is My Internet Slow?: Making Network Speeds Visible,37
269,CHI,2011,Synchronous Interaction Among Hundreds: An Evaluation of a Conference in an Avatar-based Virtual Environment,43
270,CHI,2011,Your Noise is My Command: Sensing Gestures Using the Body as an Antenna,32
272,CHI,2011,Usable Gestures for Blind People: Understanding Preference and Performance,60
273,CHI,2011,Automics: souvenir generating photoware for theme parks,31
275,CHI,2011,Review Spotlight: A User Interface for Summarizing User-generated Reviews Using Adjective-Noun Word Pairs,25
276,CHI,2011,In the Shadow of Misperception: Assistive Technology Use and Social Interactions,24
277,CHI,2011,Ease of Juggling: Studying the Effects of Manual Multitasking,42
281,ICSE,2011,"Programs, tests, and oracles: the foundations of testing revisited",36
283,ICSE,2011,"Configuring Global Software Teams: A Multi-Company Analysis of Project Productivity, Quality, and Profits",33
285,SIGMOD,2011,Entangled Queries: Enabling Declarative Data-Driven Coordination,32
286,SOSP,2011,Cells: A Virtual Mobile Smartphone Architecture,34
287,SOSP,2011,A File is Not a File: Understanding the I/O Behavior of Apple Desktop Applications,34
289,CHI,2010,The Tower of Babel Meets Web 2.0: User-Generated Content and its Applications in a Multilingual Context,0
291,CHI,2010,Skinput: Appropriating the Body as an Input Surface,30
292,CHI,2010,Avaaj Otalo — A Field Study of an Interactive Voice Forum for Small Farmers in Rural India,37
293,CHI,2010,Lumino: Tangible Blocks for Tabletop Computers Based on Glass Fiber Bundles,0
294,CHI,2010,Feminist HCI: Taking Stock and Outlining an Agenda for Design,29
295,CHI,2010,Prefab: Implementing Advanced Behaviors Using Pixel-Based Reverse Engineering of Interface Structure,0
299,CHI,2010,Useful Junk? The Effects of Visual Embellishment on Comprehension and Memorability of Charts,30
300,ICML,2010,Hilbert Space Embeddings of Hidden Markov Models,42
308,PLDI,2010,Safe to the Last Instruction: Automated Verification of a Type-Safe Operating System,38
309,SIGMOD,2010,FAST: fast architecture sensitive tree search on modern CPUs and GPUs,27
312,CHI,2009,From Interaction to Trajectories: Designing Coherent Journeys Through User Experiences,54
313,CHI,2009,Musink: Composing Music through Augmented Drawing,0
314,CHI,2009,Sizing the Horizon: The Effects of Chart Size and Layering on the Graphical Perception of Time Series Visualizations,40
