conference,work_id,cited_by_count,pub_year,type
FOCS,W2278634441,0,2004.0,regular
FOCS,W1830192212,0,1998.0,regular
FOCS,W2592396234,4,2017.0,regular
FOCS,W111149620,0,2014.0,regular
FOCS,W2465492956,0,2016.0,regular
FOCS,W640436373,0,2006.0,regular
FOCS,W1774665941,0,2014.0,regular
FOCS,W2969089016,0,2018.0,regular
FOCS,W2606157188,0,2016.0,regular
FOCS,W3119229906,0,2018.0,regular
FOCS,W2410990103,0,2011.0,regular
FOCS,W1564512400,4,2011.0,regular
FOCS,W66575748,0,2014.0,regular
FOCS,W2924664751,0,2018.0,regular
FOCS,W2802715009,0,2018.0,regular
FOCS,W1590181360,0,2015.0,regular
FOCS,W351890063,0,1995.0,regular
FOCS,W2984370522,0,2003.0,regular
FOCS,W2098613341,0,1988.0,regular
FOCS,W761446162,0,2004.0,regular
FOCS,W749852046,0,1982.0,regular
FOCS,W2976288990,0,2018.0,regular
FOCS,W2785461950,0,1994.0,regular
FOCS,W3155099430,0,2018.0,regular
FOCS,W822936840,0,2006.0,regular
FOCS,W3207763790,0,2021.0,regular
FOCS,W177845765,1,2000.0,regular
FOCS,W2598334961,0,2006.0,regular
FOCS,W2606962851,0,2016.0,regular
FOCS,W2257220174,0,2008.0,regular
FOCS,W3108357912,0,2018.0,regular
FOCS,W762401859,0,1999.0,regular
FOCS,W2297057264,0,2014.0,regular
FOCS,W838585198,0,2001.0,regular
FOCS,W1701155647,0,2006.0,regular
FOCS,W3089937735,0,2018.0,regular
FOCS,W1589987215,4,2001.0,regular
FOCS,W774618545,0,2006.0,regular
FOCS,W1497715228,0,1997.0,regular
FOCS,W3135205981,0,2018.0,regular
FOCS,W1586855300,0,1993.0,regular
FOCS,W639706413,0,2000.0,regular
FOCS,W90269195,0,2011.0,regular
FOCS,W3134804144,0,2018.0,regular
FOCS,W2173811461,0,2002.0,regular
FOCS,W38598567,0,2007.0,regular
FSE,W2962680951,9,2017.0,regular
FSE,W2963568334,21,2015.0,regular
FSE,W3209174574,27,2021.0,regular
FSE,W2963956412,22,2018.0,regular
FSE,W3008725893,27,2019.0,regular
FSE,W2963666573,65,2016.0,regular
FSE,W3212487835,20,2021.0,regular
FSE,W2996580318,15,2018.0,regular
FSE,W3186758430,65,2021.0,regular
FSE,W3213882184,22,2017.0,regular
FSE,W3209830540,9,2021.0,regular
FSE,W2963814707,5,2018.0,regular
FSE,W3165064550,4,2021.0,regular
FSE,W2963516646,95,2016.0,regular
FSE,W3181356059,77,2020.0,regular
FSE,W2965886910,9,2017.0,regular
FSE,W4296700525,12,2022.0,regular
FSE,W3211637939,11,2021.0,regular
FSE,W2996447514,17,2018.0,regular
FSE,W3203095376,20,2021.0,regular
FSE,W3199713517,17,2021.0,regular
FSE,W4226283412,27,2021.0,regular
FSE,W4287023797,5,2021.0,regular
FSE,W2985605471,9,2019.0,regular
FSE,W2963332798,1,2015.0,regular
FSE,W3004047953,1,2018.0,regular
FSE,W2942508063,91,2019.0,regular
FSE,W3186208756,34,2021.0,regular
FSE,W3205813705,8,2021.0,regular
FSE,W3140129157,1,2011.0,regular
FSE,W3215953200,6,2021.0,regular
FSE,W2963242019,97,2016.0,regular
FSE,W2963001435,7,2017.0,regular
FSE,W2963488431,14,2017.0,regular
FSE,W2964068172,11,2016.0,regular
FSE,W2962691672,18,2016.0,regular
FSE,W2964133791,2,2017.0,regular
FSE,W3206837489,45,2021.0,regular
FSE,W2963978069,183,2016.0,regular
FSE,W3215301771,71,2021.0,regular
FSE,W2963872945,16,2015.0,regular
FSE,W3197730363,36,2021.0,regular
FSE,W3197867394,32,2021.0,regular
FSE,W3210225642,30,2021.0,regular
FSE,W4293248187,1,2022.0,regular
FSE,W2964008148,51,2017.0,regular
FSE,W2963295590,19,2018.0,regular
FSE,W3010999265,24,2018.0,regular
FSE,W3120966062,3,2019.0,regular
FSE,W2963597965,15,2016.0,regular
ICCV,W2265596315,0,2013.0,regular
ICCV,W2381665134,0,2012.0,regular
ICCV,W3100617296,178,2016.0,regular
ICCV,W2735419376,1,2008.0,regular
ICCV,W2209678695,0,2009.0,regular
ICCV,W2729592420,0,2011.0,regular
ICCV,W2612114800,0,2013.0,regular
ICCV,W2735291902,0,2008.0,regular
ICCV,W2621902085,0,1996.0,regular
ICCV,W2591835369,0,2011.0,regular
ICCV,W770191634,0,2010.0,regular
ICCV,W2276442425,0,2013.0,regular
ICCV,W2252512144,0,2011.0,regular
ICCV,W2563353606,0,2012.0,regular
ICCV,W2117925456,117,2004.0,regular
ICCV,W2620057432,0,2010.0,regular
ICCV,W2735292327,0,2010.0,regular
ICCV,W2900845668,0,2013.0,regular
ICCV,W2261370492,0,2010.0,regular
ICCV,W2479035881,0,2016.0,regular
ICCV,W2615062952,0,2012.0,regular
ICCV,W2594005213,0,2009.0,regular
ICCV,W2244725793,4,2011.0,regular
ICCV,W2908047104,0,2010.0,regular
ICCV,W3048437857,0,2006.0,regular
ICCV,W2730232457,0,2010.0,regular
ICCV,W3216676504,0,2012.0,regular
ICCV,W3171405457,0,1991.0,regular
ICCV,W2226004824,0,2012.0,regular
ICCV,W4295050580,11,1995.0,regular
ICCV,W2715897609,0,2009.0,regular
ICCV,W2605096608,0,2005.0,regular
ICCV,W3168770314,0,2021.0,regular
ICCV,W2805524348,1,2012.0,regular
ICCV,W2599121571,0,2010.0,regular
ICCV,W2618478781,0,2012.0,regular
ICCV,W3106103360,0,2009.0,regular
ICCV,W4298225167,41,2016.0,regular
ICCV,W3102058639,40,2018.0,regular
ICCV,W2727059196,0,2013.0,regular
ICCV,W2626482338,0,2012.0,regular
ICCV,W4321520380,0,2019.0,regular
ICCV,W2734256188,0,2011.0,regular
ICCV,W2621986906,0,2009.0,regular
ICCV,W2941247205,0,2017.0,regular
ICCV,W3082108372,0,2010.0,regular
ICCV,W2610534100,0,2010.0,regular
ICCV,W3102794350,1,2016.0,regular
ICCV,W4300198481,3,2005.0,regular
ICCV,W2613591811,0,2011.0,regular
ICML,W2962680951,9,2017.0,regular
ICML,W2963568334,21,2015.0,regular
ICML,W3209174574,27,2021.0,regular
ICML,W2963956412,22,2018.0,regular
ICML,W3008725893,27,2019.0,regular
ICML,W2963666573,65,2016.0,regular
ICML,W3212487835,20,2021.0,regular
ICML,W2996580318,15,2018.0,regular
ICML,W3186758430,65,2021.0,regular
ICML,W3213882184,22,2017.0,regular
ICML,W3209830540,9,2021.0,regular
ICML,W2963814707,5,2018.0,regular
ICML,W3165064550,4,2021.0,regular
ICML,W2963516646,95,2016.0,regular
ICML,W3181356059,77,2020.0,regular
ICML,W2965886910,9,2017.0,regular
ICML,W4296700525,12,2022.0,regular
ICML,W3211637939,11,2021.0,regular
ICML,W2996447514,17,2018.0,regular
ICML,W3203095376,20,2021.0,regular
ICML,W3199713517,17,2021.0,regular
ICML,W4226283412,27,2021.0,regular
ICML,W4287023797,5,2021.0,regular
ICML,W2963064364,11,2018.0,regular
ICML,W2964230361,59,2015.0,regular
ICML,W3004047953,1,2018.0,regular
ICML,W2942508063,91,2019.0,regular
ICML,W3186208756,34,2021.0,regular
ICML,W3205813705,8,2021.0,regular
ICML,W3140129157,1,2011.0,regular
ICML,W3215953200,6,2021.0,regular
ICML,W2963332798,1,2015.0,regular
ICML,W2963001435,7,2017.0,regular
ICML,W2963488431,14,2017.0,regular
ICML,W2964068172,11,2016.0,regular
ICML,W2962691672,18,2016.0,regular
ICML,W2964133791,2,2017.0,regular
ICML,W3206837489,45,2021.0,regular
ICML,W2963978069,183,2016.0,regular
ICML,W3215301771,71,2021.0,regular
ICML,W2963872945,16,2015.0,regular
ICML,W3197730363,36,2021.0,regular
ICML,W3197867394,32,2021.0,regular
ICML,W3210225642,30,2021.0,regular
ICML,W4293248187,1,2022.0,regular
ICML,W2964008148,51,2017.0,regular
ICML,W2963295590,19,2018.0,regular
ICML,W3010999265,24,2018.0,regular
ICML,W2967756749,29,2019.0,regular
ICML,W2963597965,15,2016.0,regular
ICSE,W2962680951,9,2017.0,regular
ICSE,W2963568334,21,2015.0,regular
