conference,award_year,work_id,cited_by_count,type
NeurIPS,2017,https://openalex.org/W2944407464,115,award
PLDI,2017,https://openalex.org/W2731280337,26,award
PLDI,2017,https://openalex.org/W2626631502,154,award
PLDI,2017,https://openalex.org/W2562114628,34,award
PLDI,2017,https://openalex.org/W2625141509,492,award
S&P,2017,https://openalex.org/W2618267215,185,award
SIGCOMM,2017,https://openalex.org/W2743093301,249,award
SIGIR,2017,https://openalex.org/W2970128991,0,award
SOSP,2017,https://openalex.org/W2760356198,22,award
SOSP,2017,https://openalex.org/W2909865272,15,award
UIST,2017,https://openalex.org/W2765855860,17,award
UIST,2017,https://openalex.org/W2739069594,62,award
VLDB,2017,https://openalex.org/W2583856578,30,award
AAAI,2016,https://openalex.org/W2555956881,1,award
ACL,2016,https://openalex.org/W2515120005,24,award
CHI,2016,https://openalex.org/W2225313775,55,award
CHI,2016,https://openalex.org/W2402642969,111,award
CHI,2016,https://openalex.org/W2405564622,319,award
CHI,2016,https://openalex.org/W2582468434,1,award
CHI,2016,https://openalex.org/W2351491323,134,award
CHI,2016,https://openalex.org/W2408438722,124,award
CHI,2016,https://openalex.org/W2402939184,122,award
CHI,2016,https://openalex.org/W2396533648,71,award
CHI,2016,https://openalex.org/W2394670422,169,award
CHI,2016,https://openalex.org/W2400341429,45,award
CHI,2016,https://openalex.org/W2396662988,35,award
CHI,2016,https://openalex.org/W2398012670,105,award
CIKM,2016,https://openalex.org/W2537475616,82,award
FSE,2016,https://openalex.org/W2548627465,164,award
FSE,2016,https://openalex.org/W2546949415,69,award
FSE,2016,https://openalex.org/W2546851909,34,award
FSE,2016,https://openalex.org/W2476494490,273,award
ICML,2016,https://openalex.org/W2953318193,1304,award
ICML,2016,https://openalex.org/W2949816416,20,award
ICSE,2016,https://openalex.org/W2344496621,124,award
ICSE,2016,https://openalex.org/W2393286498,17,award
ICSE,2016,https://openalex.org/W2367183013,21,award
ICSE,2016,https://openalex.org/W2381207137,11,award
IJCAI,2016,https://openalex.org/W2552810632,1124,award
KDD,2016,https://openalex.org/W2348679751,291,award
NSDI,2016,https://openalex.org/W2583834843,97,award
OSDI,2016,https://openalex.org/W2576393274,57,award
PLDI,2016,https://openalex.org/W2414762192,85,award
PLDI,2016,https://openalex.org/W2413028252,45,award
PLDI,2016,https://openalex.org/W2386500332,20,award
PLDI,2016,https://openalex.org/W2408975894,7,award
PODS,2016,https://openalex.org/W2963560792,173,award
SIGCOMM,2016,https://openalex.org/W2488265751,149,award
STOC,2016,https://openalex.org/W2963024133,49,award
STOC,2016,https://openalex.org/W2397754814,17,award
UIST,2016,https://openalex.org/W2537074996,77,award
UIST,2016,https://openalex.org/W2533619018,251,award
UIST,2016,https://openalex.org/W2538172027,256,award
ACL,2015,https://openalex.org/W2137231986,8,award
CHI,2015,https://openalex.org/W1974329625,130,award
CHI,2015,https://openalex.org/W2077940530,124,award
CHI,2015,https://openalex.org/W2114469472,95,award
CHI,2015,https://openalex.org/W2171206549,179,award
CHI,2015,https://openalex.org/W2071865879,44,award
CHI,2015,https://openalex.org/W1972988737,121,award
CHI,2015,https://openalex.org/W2163444123,357,award
CHI,2015,https://openalex.org/W2040372247,65,award
CHI,2015,https://openalex.org/W2193303691,13,award
CHI,2015,https://openalex.org/W2071620178,202,award
CHI,2015,https://openalex.org/W1964639420,30,award
CIKM,2015,https://openalex.org/W2068176125,62,award
FSE,2015,https://openalex.org/W2053553342,30,award
FSE,2015,https://openalex.org/W2136601052,105,award
FSE,2015,https://openalex.org/W2063535228,83,award
FSE,2015,https://openalex.org/W2079877139,70,award
FSE,2015,https://openalex.org/W2027701108,30,award
ICSE,2015,https://openalex.org/W4239863959,132,award
ICSE,2015,https://openalex.org/W4238398178,43,award
IJCAI,2015,https://openalex.org/W2399956932,0,award
IJCAI,2015,https://openalex.org/W2497473102,32,award
INFOCOM,2015,https://openalex.org/W1591399774,74,award
MOBICOM,2015,https://openalex.org/W2538862502,2,award
NeurIPS,2015,https://openalex.org/W2187207766,52,award
PLDI,2015,https://openalex.org/W2061091230,159,award
PODS,2015,https://openalex.org/W2070021346,9,award
S&P,2015,https://openalex.org/W2580339477,30,award
SIGCOMM,2015,https://openalex.org/W2094739364,145,award
SIGMETRICS,2015,https://openalex.org/W3212975581,33,award
SIGMOD,2015,https://openalex.org/W2092799168,218,award
SOSP,2015,https://openalex.org/W2902547091,45,award
SOSP,2015,https://openalex.org/W2073742357,197,award
STOC,2015,https://openalex.org/W2082224527,27,award
STOC,2015,https://openalex.org/W2033498419,63,award
UIST,2015,https://openalex.org/W2197150605,136,award
UIST,2015,https://openalex.org/W2176017127,253,award
UIST,2015,https://openalex.org/W2271345687,132,award
CHI,2014,https://openalex.org/W2137864660,381,award
CHI,2014,https://openalex.org/W2005511465,33,award
CHI,2014,https://openalex.org/W2094690640,159,award
CHI,2014,https://openalex.org/W2155058526,650,award
CHI,2014,https://openalex.org/W2125898659,278,award
CHI,2014,https://openalex.org/W2140006089,38,award
CHI,2014,https://openalex.org/W2047781873,78,award
CHI,2014,https://openalex.org/W2106612861,97,award
CIKM,2014,https://openalex.org/W2061985103,50,award
FSE,2014,https://openalex.org/W2158356994,22,award
FSE,2014,https://openalex.org/W2140609933,376,award
FSE,2014,https://openalex.org/W2041235686,14,award
FSE,2014,https://openalex.org/W2135937266,584,award
ICSE,2014,https://openalex.org/W2056659466,55,award
ICSE,2014,https://openalex.org/W2095839586,272,award
ICSE,2014,https://openalex.org/W1970005004,216,award
ICSE,2014,https://openalex.org/W2113610359,190,award
ICSE,2014,https://openalex.org/W2086186328,44,award
ICSE,2014,https://openalex.org/W2090907135,64,award
INFOCOM,2014,https://openalex.org/W2421692426,7,award
KDD,2014,https://openalex.org/W2052261215,223,award
MOBICOM,2014,https://openalex.org/W2069973845,735,award
NeurIPS,2014,https://openalex.org/W2170892587,10570,award
OSDI,2014,https://openalex.org/W2169414316,306,award
PLDI,2014,https://openalex.org/W2170737051,365,award
PLDI,2014,https://openalex.org/W2057510141,50,award
S&P,2014,https://openalex.org/W2302922559,80,award
SIGCOMM,2014,https://openalex.org/W4240983449,13,award
SIGCOMM,2014,https://openalex.org/W4254522945,157,award
SODA,2014,https://openalex.org/W2278710066,150,award
UIST,2014,https://openalex.org/W2028953510,220,award
UIST,2014,https://openalex.org/W2144575742,150,award
VLDB,2014,https://openalex.org/W2243512312,65,award
VLDB,2014,https://openalex.org/W2294510862,92,award
VLDB,2014,https://openalex.org/W2797202077,40,award
VLDB,2014,https://openalex.org/W3009330983,12,award
WWW,2014,https://openalex.org/W2060170830,60,award
AAAI,2013,https://openalex.org/W2186424956,3,award
AAAI,2013,https://openalex.org/W2215753997,12,award
ACL,2013,https://openalex.org/W2136985729,113,award
CHI,2013,https://openalex.org/W2052209137,175,award
CHI,2013,https://openalex.org/W2128640376,31,award
CHI,2013,https://openalex.org/W4241693488,31,award
CHI,2013,https://openalex.org/W1986345088,190,award
CHI,2013,https://openalex.org/W2147603330,759,award
CHI,2013,https://openalex.org/W2007644286,135,award
CHI,2013,https://openalex.org/W4243991703,106,award
CHI,2013,https://openalex.org/W2056225838,106,award
CHI,2013,https://openalex.org/W1997652918,3,award
