author_id,award_year,rel_year,pubs,cits
A5009913852,2008,-1,1,193
A5009913852,2008,0,4,338
A5009913852,2008,1,1,1479
A5009913852,2008,2,0,0
A5009913852,2008,3,0,0
A5009913852,2008,4,3,174
A5009913852,2008,5,0,0
A5023802054,2008,-5,10,258
A5023802054,2008,-4,16,1739
A5023802054,2008,-3,18,1988
A5023802054,2008,-2,14,475
A5023802054,2008,-1,14,974
A5023802054,2008,0,21,1224
A5023802054,2008,1,16,1987
A5023802054,2008,2,24,1458
A5023802054,2008,3,25,1035
A5023802054,2008,4,27,741
A5023802054,2008,5,37,1408
A5013135203,2008,-5,0,0
A5013135203,2008,-4,0,0
A5013135203,2008,-3,0,0
A5013135203,2008,-2,0,0
A5013135203,2008,-1,1,0
A5013135203,2008,0,4,239
A5013135203,2008,1,1,32
A5013135203,2008,2,2,130
A5013135203,2008,3,1,38
A5013135203,2008,4,3,67
A5013135203,2008,5,5,88
A5101513166,2010,-5,11,804
A5101513166,2010,-4,14,519
A5101513166,2010,-3,31,1222
A5101513166,2010,-2,34,2384
A5101513166,2010,-1,21,804
A5101513166,2010,0,18,3068
A5101513166,2010,1,32,1219
A5101513166,2010,2,33,1749
A5101513166,2010,3,15,267
A5101513166,2010,4,15,478
A5101513166,2010,5,13,247
A5072668133,2010,-5,1,2
A5072668133,2010,-4,1,3
A5072668133,2010,-3,2,68
A5072668133,2010,-2,0,0
A5072668133,2010,-1,3,159
A5072668133,2010,0,2,2395
A5072668133,2010,1,0,0
A5072668133,2010,2,1,11
A5072668133,2010,3,1,4
A5072668133,2010,4,1,3
A5072668133,2010,5,0,0
A5077725628,2010,-5,2,51
A5077725628,2010,-4,0,0
A5077725628,2010,-3,1,27
A5077725628,2010,-2,0,0
A5077725628,2010,-1,2,5
A5077725628,2010,0,1,1973
A5077725628,2010,1,0,0
A5077725628,2010,2,0,0
A5077725628,2010,3,2,99
A5077725628,2010,4,0,0
A5077725628,2010,5,1,2
A5028683722,2010,-5,2,476
A5028683722,2010,-4,1,20
A5028683722,2010,-3,1,464
A5028683722,2010,-2,3,1232
A5028683722,2010,-1,3,4937
A5028683722,2010,0,5,2119
A5028683722,2010,1,7,390
A5028683722,2010,2,11,2230
A5028683722,2010,3,3,41
A5028683722,2010,4,0,0
A5028683722,2010,5,2,51
A5056213327,2010,-5,2,9
A5056213327,2010,-4,7,26
A5056213327,2010,-3,14,180
A5056213327,2010,-2,2,13
A5056213327,2010,-1,6,219
A5056213327,2010,0,8,2425
A5056213327,2010,1,10,145
A5056213327,2010,2,8,65
A5056213327,2010,3,10,71
A5056213327,2010,4,10,563
A5056213327,2010,5,2,0
A5102921433,2010,-5,6,95
A5102921433,2010,-4,10,416
A5102921433,2010,-3,9,667
A5102921433,2010,-2,7,3086
A5102921433,2010,-1,12,1328
A5102921433,2010,0,10,2831
A5102921433,2010,1,9,805
A5102921433,2010,2,10,636
A5102921433,2010,3,6,151
A5102921433,2010,4,16,984
A5102921433,2010,5,14,9646
A5071367253,2010,-5,9,911
A5071367253,2010,-4,7,618
A5071367253,2010,-3,23,757
A5071367253,2010,-2,34,3581
A5071367253,2010,-1,36,1389
A5071367253,2010,0,41,2162
A5071367253,2010,1,40,1895
A5071367253,2010,2,24,771
A5071367253,2010,3,27,4839
A5071367253,2010,4,33,1734
A5071367253,2010,5,33,1359
A5016158060,2010,-5,0,0
A5016158060,2010,-4,0,0
A5016158060,2010,-3,0,0
A5016158060,2010,-2,0,0
A5016158060,2010,-1,1,13
A5016158060,2010,0,6,645
A5016158060,2010,1,6,152
A5016158060,2010,2,1,10
A5016158060,2010,3,5,599
A5016158060,2010,4,1,39
A5016158060,2010,5,2,49
A5085471281,2010,-5,4,2067
A5085471281,2010,-4,3,340
A5085471281,2010,-3,3,37
A5085471281,2010,-2,0,0
A5085471281,2010,-1,5,92
A5085471281,2010,0,12,770
A5085471281,2010,1,1,0
A5085471281,2010,2,1,1
A5085471281,2010,3,1,139
A5085471281,2010,4,1,114
A5085471281,2010,5,2,121
A5073490832,2010,-5,1,88
A5073490832,2010,-4,0,0
A5073490832,2010,-3,0,0
A5073490832,2010,-2,0,0
A5073490832,2010,-1,2,329
A5073490832,2010,0,2,390
A5073490832,2010,1,3,142
A5073490832,2010,2,3,61
A5073490832,2010,3,7,509
A5073490832,2010,4,6,243
A5073490832,2010,5,3,238
A5059591440,2010,-5,0,0
A5059591440,2010,-4,0,0
A5059591440,2010,-3,0,0
A5059591440,2010,-2,1,90
A5059591440,2010,-1,3,15
A5059591440,2010,0,5,698
A5059591440,2010,1,4,147
A5059591440,2010,2,3,172
A5059591440,2010,3,3,185
A5059591440,2010,4,3,100
A5059591440,2010,5,0,0
A5073761333,2010,-5,0,0
A5073761333,2010,-4,0,0
A5073761333,2010,-3,1,0
A5073761333,2010,-2,3,119
A5073761333,2010,-1,0,0
A5073761333,2010,0,2,397
A5073761333,2010,1,2,0
A5073761333,2010,2,2,131
A5073761333,2010,3,4,204
A5073761333,2010,4,0,0
A5073761333,2010,5,5,95
A5100636286,2010,-5,44,2312
A5100636286,2010,-4,39,6231
A5100636286,2010,-3,43,9960
A5100636286,2010,-2,46,5034
A5100636286,2010,-1,55,24790
A5100636286,2010,0,61,4803
A5100636286,2010,1,53,2531
A5100636286,2010,2,51,1506
A5100636286,2010,3,37,1957
A5100636286,2010,4,41,1083
A5100636286,2010,5,34,1814
A5059273574,2011,-5,6,270
A5059273574,2011,-4,0,0
A5059273574,2011,-3,4,48
A5059273574,2011,-2,2,57
A5059273574,2011,-1,6,285
A5059273574,2011,0,3,808
A5059273574,2011,1,7,155
A5059273574,2011,2,8,344
A5059273574,2011,3,7,416
A5059273574,2011,4,8,191
A5059273574,2011,5,1,60
A5073644080,2011,-5,1,25
A5073644080,2011,-4,3,116
A5073644080,2011,-3,2,182
A5073644080,2011,-2,2,133
A5073644080,2011,-1,6,355
A5073644080,2011,0,6,866
A5073644080,2011,1,6,112
A5073644080,2011,2,8,474
A5073644080,2011,3,0,0
A5073644080,2011,4,1,17
A5073644080,2011,5,1,0
A5025500718,2011,-5,0,0
A5025500718,2011,-4,0,0
A5025500718,2011,-3,0,0
A5025500718,2011,-2,0,0
A5025500718,2011,-1,0,0
A5025500718,2011,0,3,808
A5025500718,2011,1,0,0
A5025500718,2011,2,0,0
A5025500718,2011,3,0,0
A5025500718,2011,4,0,0
A5025500718,2011,5,0,0
A5103153703,2011,-5,2,159
A5103153703,2011,-4,3,273
A5103153703,2011,-3,1,408
A5103153703,2011,-2,5,212
A5103153703,2011,-1,8,177
A5103153703,2011,0,8,1705
A5103153703,2011,1,3,15
A5103153703,2011,2,3,49
A5103153703,2011,3,7,185
A5103153703,2011,4,13,346
A5103153703,2011,5,6,440
A5001953637,2011,-5,2,10
A5001953637,2011,-4,1,25
A5001953637,2011,-3,1,2
A5001953637,2011,-2,5,314
A5001953637,2011,-1,0,0
A5001953637,2011,0,5,779
A5001953637,2011,1,1,83
A5001953637,2011,2,2,106
A5001953637,2011,3,2,52
A5001953637,2011,4,3,18
A5001953637,2011,5,5,26
A5109862901,2011,-5,5,789
A5109862901,2011,-4,4,127
A5109862901,2011,-3,11,1061
A5109862901,2011,-2,7,262
A5109862901,2011,-1,15,878
A5109862901,2011,0,11,2032
A5109862901,2011,1,7,236
A5109862901,2011,2,5,74
A5109862901,2011,3,13,568
A5109862901,2011,4,6,107
A5109862901,2011,5,0,0
A5010817303,2011,-5,2,48
A5010817303,2011,-4,4,77
A5010817303,2011,-3,7,521
A5010817303,2011,-2,6,364
A5010817303,2011,-1,5,358
A5010817303,2011,0,6,751
A5010817303,2011,1,10,179
A5010817303,2011,2,11,337
A5010817303,2011,3,5,194
A5010817303,2011,4,4,144
A5010817303,2011,5,7,1551
A5102867584,2011,-5,0,0
A5102867584,2011,-4,2,71
A5102867584,2011,-3,1,217
A5102867584,2011,-2,0,0
A5102867584,2011,-1,0,0
A5102867584,2011,0,2,470
A5102867584,2011,1,0,0
A5102867584,2011,2,0,0
A5102867584,2011,3,1,0
A5102867584,2011,4,0,0
A5102867584,2011,5,0,0
A5008715111,2011,-5,12,989
A5008715111,2011,-4,14,1635
A5008715111,2011,-3,9,859
A5008715111,2011,-2,6,239
A5008715111,2011,-1,10,943
A5008715111,2011,0,10,672
A5008715111,2011,1,4,116
A5008715111,2011,2,8,934
A5008715111,2011,3,12,478
A5008715111,2011,4,10,2088
A5008715111,2011,5,11,720
A5016095713,2011,-5,2,47
A5016095713,2011,-4,1,24
A5016095713,2011,-3,1,0
A5016095713,2011,-2,1,24
A5016095713,2011,-1,2,12
A5016095713,2011,0,8,571
A5016095713,2011,1,5,212
A5016095713,2011,2,2,74
A5016095713,2011,3,4,471
A5016095713,2011,4,7,841
A5016095713,2011,5,8,153
A5037942269,2011,-5,6,918
A5037942269,2011,-4,13,2687
A5037942269,2011,-3,7,1072
A5037942269,2011,-2,6,452
A5037942269,2011,-1,10,2866
A5037942269,2011,0,11,1690
A5037942269,2011,1,10,431
A5037942269,2011,2,21,909
A5037942269,2011,3,12,400
A5037942269,2011,4,8,184
A5037942269,2011,5,15,511
A5102256630,2012,-5,1,1
A5102256630,2012,-4,0,0
A5102256630,2012,-3,2,5
A5102256630,2012,-2,9,320
A5102256630,2012,-1,15,156
A5102256630,2012,0,7,340
A5102256630,2012,1,3,99
A5102256630,2012,2,0,0
A5102256630,2012,3,0,0
A5102256630,2012,4,0,0
A5102256630,2012,5,1,37
A5103591438,2012,-5,1,18
A5103591438,2012,-4,1,23
A5103591438,2012,-3,0,0
A5103591438,2012,-2,10,122
A5103591438,2012,-1,9,89
A5103591438,2012,0,9,311
A5103591438,2012,1,17,430
A5103591438,2012,2,17,206
