author_id,award_year,pre_pubs,post_pubs,pre_cits,post_cits,pub_lift,cit_lift,conference,author_position,group
A5009362952,2014,5.4,13.6,388.8,530.8,8.2,141.99999999999994,NeurIPS,middle,nonaward
A5009510257,2016,0.0,1.0,0.0,22.4,1.0,22.4,OSDI,middle,nonaward
A5009711392,2018,5.0,6.6,324.8,95.8,1.5999999999999996,-229.0,SODA,middle,nonaward
A5009722403,2007,10.0,16.0,1260.0,852.0,6.0,-408.0,AAAI,last,nonaward
A5009744002,2014,0.0,0.0,0.0,0.0,0.0,0.0,SODA,middle,nonaward
A5009876111,2017,2.0,4.6,1147.4,749.8,2.5999999999999996,-397.60000000000014,SIGIR,middle,nonaward
A5009879346,2014,3.2,1.4,288.8,91.0,-1.8000000000000003,-197.8,NeurIPS,middle,nonaward
A5009913852,2008,0.8,0.8,42.0,330.6,0.0,288.6,AAAI,middle,nonaward
A5010087030,2018,11.2,53.6,1925.2,3410.6,42.400000000000006,1485.3999999999999,AAAI,last,nonaward
A5010088368,2007,0.0,0.0,0.0,0.0,0.0,0.0,ICSE,middle,nonaward
A5010114060,2010,20.6,13.0,385.4,325.6,-7.600000000000001,-59.799999999999955,CIKM,middle,nonaward
A5010114060,2011,21.6,11.2,426.4,259.0,-10.400000000000002,-167.39999999999998,VLDB,middle,nonaward
A5010150737,2013,13.6,7.6,1247.8,500.6,-6.0,-747.1999999999999,CHI,middle,nonaward
A5010313313,2018,4.8,12.0,123.2,378.2,7.2,255.0,SODA,middle,nonaward
A5010442160,2012,21.2,16.4,569.8,478.0,-4.800000000000001,-91.79999999999995,ICML,middle,nonaward
A5010452641,2015,8.2,4.6,76.8,172.0,-3.5999999999999996,95.2,S&P,first,nonaward
A5010533347,2010,11.4,6.4,494.0,160.0,-5.0,-334.0,VLDB,middle,nonaward
A5010590565,2016,0.0,2.2,0.0,97.6,2.2,97.6,OSDI,middle,nonaward
A5010699077,2014,0.6,2.6,0.4,0.0,2.0,-0.4,S&P,last,nonaward
A5010727123,2010,35.2,56.0,1807.6,731.0,20.799999999999997,-1076.6,VLDB,last,nonaward
A5010768151,2010,1.8,1.2,322.2,8.6,-0.6000000000000001,-313.59999999999997,ICML,last,nonaward
A5010817303,2011,4.8,7.4,273.6,481.0,2.6000000000000005,207.39999999999998,AAAI,last,nonaward
A5010842984,2012,4.2,4.4,82.4,19.0,0.20000000000000018,-63.400000000000006,SODA,middle,nonaward
A5010848619,2014,1.0,4.4,1804.0,1417.4,3.4000000000000004,-386.5999999999999,SODA,middle,nonaward
A5010857349,2010,1.0,1.4,10.6,19.4,0.3999999999999999,8.799999999999999,ICML,middle,nonaward
A5010857944,2006,16.0,6.0,3548.4,382.4,-10.0,-3166.0,VLDB,last,nonaward
A5010903591,2006,0.6,7.4,69.0,533.0,6.800000000000001,464.0,VLDB,first,nonaward
A5010935764,2012,14.8,12.2,939.4,236.4,-2.6000000000000014,-703.0,ICML,middle,nonaward
A5011117177,2017,3.0,4.4,232.4,307.4,1.4000000000000004,74.99999999999997,VLDB,middle,nonaward
A5011170964,2009,2.0,3.4,45.6,126.4,1.4,80.80000000000001,CHI,middle,nonaward
A5011377871,2016,6.0,3.6,832.0,96.0,-2.4,-736.0,IJCAI,middle,nonaward
A5011469525,2014,3.2,3.0,456.4,90.0,-0.20000000000000018,-366.4,SODA,middle,nonaward
A5011512061,2010,6.6,9.6,152.0,398.0,3.0,246.0,CIKM,middle,nonaward
A5011760436,2011,7.0,19.6,312.0,769.0,12.600000000000001,457.0,IJCAI,middle,nonaward
A5011854017,2013,0.2,0.2,1.8,108.4,0.0,106.60000000000001,VLDB,middle,nonaward
A5011858791,2011,7.2,3.6,1400.2,183.4,-3.6,-1216.8,CVPR,middle,nonaward
A5011964538,2009,3.2,3.8,447.6,369.2,0.5999999999999996,-78.40000000000003,S&P,middle,nonaward
A5012068017,2014,20.8,27.2,799.4,1280.2,6.399999999999999,480.80000000000007,S&P,last,nonaward
A5012068017,2014,20.8,27.2,799.4,1280.2,6.399999999999999,480.80000000000007,VLDB,last,nonaward
