work_id,year,conference,ni,nj,cd_5,total_citers,cd_reliable
W2125898659,2014,CHI,26,96,-0.5737704918032787,122,-0.5737704918032787
W2059268796,2014,CHI,6,71,-0.8441558441558441,77,-0.8441558441558441
W2140006089,2014,CHI,8,19,-0.4074074074074074,27,-0.4074074074074074
W1985475196,2014,CHI,0,9,-1.0,9,
W2250553926,2014,CHI,33,167,-0.67,200,-0.67
W2047781873,2014,CHI,19,26,-0.1555555555555555,45,-0.1555555555555555
W2162409443,2014,CHI,30,25,0.0909090909090909,55,0.0909090909090909
W2117160827,2014,CHI,8,13,-0.238095238095238,21,-0.238095238095238
W2051295909,2014,CHI,6,18,-0.5,24,-0.5
W2124910144,2014,CHI,4,10,-0.4285714285714285,14,-0.4285714285714285
W2106612861,2014,CHI,14,48,-0.5483870967741935,62,-0.5483870967741935
W2061985103,2014,CIKM,6,27,-0.6363636363636364,33,-0.6363636363636364
W2032643440,2014,CVPR,0,22,-1.0,22,-1.0
W4240592614,2014,FOCS,0,0,,0,
W2158356994,2014,FSE,1,13,-0.8571428571428571,14,-0.8571428571428571
W2102147011,2014,FSE,1,23,-0.9166666666666666,24,-0.9166666666666666
W2140609933,2014,FSE,31,148,-0.6536312849162011,179,-0.6536312849162011
W2041235686,2014,FSE,1,11,-0.8333333333333334,12,-0.8333333333333334
W2096146112,2014,FSE,4,18,-0.6363636363636364,22,-0.6363636363636364
W2135937266,2014,FSE,10,190,-0.9,200,-0.9
W159693449,2014,ICML,12,85,-0.7525773195876289,97,-0.7525773195876289
W2056659466,2014,ICSE,17,20,-0.081081081081081,37,-0.081081081081081
W2095839586,2014,ICSE,36,116,-0.5263157894736842,152,-0.5263157894736842
W2106072155,2014,ICSE,72,128,-0.28,200,-0.28
W2080395944,2014,ICSE,36,44,-0.1,80,-0.1
W1970005004,2014,ICSE,6,117,-0.902439024390244,123,-0.902439024390244
W2113610359,2014,ICSE,10,78,-0.7727272727272727,88,-0.7727272727272727
W2086186328,2014,ICSE,2,30,-0.875,32,-0.875
W2090907135,2014,ICSE,15,37,-0.4230769230769231,52,-0.4230769230769231
W2050127001,2014,ICSE,9,35,-0.5909090909090909,44,-0.5909090909090909
W2421692426,2014,INFOCOM,0,4,-1.0,4,
W1995769257,2014,INFOCOM,0,25,-1.0,25,-1.0
W2052261215,2014,KDD,47,112,-0.4088050314465409,159,-0.4088050314465409
W2069973845,2014,MOBICOM,53,147,-0.47,200,-0.47
W2169054943,2014,NeurIPS,42,100,-0.4084507042253521,142,-0.4084507042253521
W2170892587,2014,NeurIPS,152,48,0.52,200,0.52
W2265366104,2014,OSDI,12,35,-0.4893617021276595,47,-0.4893617021276595
W2061643296,2014,OSDI,24,176,-0.76,200,-0.76
W2169414316,2014,OSDI,12,188,-0.88,200,-0.88
W2170737051,2014,PLDI,50,107,-0.3630573248407643,157,-0.3630573248407643
W2057510141,2014,PLDI,6,32,-0.6842105263157895,38,-0.6842105263157895
W2050680750,2014,PLDI,6,55,-0.8032786885245902,61,-0.8032786885245902
W2658699200,2014,PODS,2,6,-0.5,8,
W2302922559,2014,S&P,7,21,-0.5,28,-0.5
W4240983449,2014,SIGCOMM,3,6,-0.3333333333333333,9,
W4254522945,2014,SIGCOMM,8,64,-0.7777777777777778,72,-0.7777777777777778
W2089455813,2014,SIGIR,6,73,-0.8481012658227848,79,-0.8481012658227848
W319976220,2014,SIGMETRICS,0,17,-1.0,17,-1.0
W2099102906,2014,SIGMOD,10,75,-0.7647058823529411,85,-0.7647058823529411
W2296493992,2014,SODA,0,0,,0,
W2278710066,2014,SODA,0,57,-1.0,57,-1.0
W2033871299,2014,STOC,17,100,-0.7094017094017094,117,-0.7094017094017094
W2106941316,2014,UIST,2,39,-0.902439024390244,41,-0.902439024390244
W2028953510,2014,UIST,22,104,-0.6507936507936508,126,-0.6507936507936508
W2144575742,2014,UIST,21,60,-0.4814814814814814,81,-0.4814814814814814
W2243512312,2014,VLDB,5,39,-0.7727272727272727,44,-0.7727272727272727
W4230031594,2014,VLDB,5,6,-0.0909090909090909,11,-0.0909090909090909
W2294510862,2014,VLDB,40,14,0.4814814814814814,54,0.4814814814814814
W2797202077,2014,VLDB,0,6,-1.0,6,
W3009330983,2014,VLDB,0,5,-1.0,5,
W2060170830,2014,WWW,7,24,-0.5483870967741935,31,-0.5483870967741935
W2186424956,2013,AAAI,0,3,-1.0,3,
W2215753997,2013,AAAI,2,9,-0.6363636363636364,11,-0.6363636363636364
W2136985729,2013,ACL,41,57,-0.1632653061224489,98,-0.1632653061224489
W2052209137,2013,CHI,27,53,-0.325,80,-0.325
W2158892938,2013,CHI,33,34,-0.0149253731343283,67,-0.0149253731343283
W2032438879,2013,CHI,43,87,-0.3384615384615385,130,-0.3384615384615385
W2021826037,2013,CHI,3,19,-0.7272727272727273,22,-0.7272727272727273
W2128640376,2013,CHI,4,16,-0.6,20,-0.6
W4241693488,2013,CHI,4,10,-0.4285714285714285,14,-0.4285714285714285
W1986345088,2013,CHI,26,70,-0.4583333333333333,96,-0.4583333333333333
W1988133012,2013,CHI,32,48,-0.2,80,-0.2
