author_id,author_name,career_stage,award_year,first_pub_year,pubs_before,pubs_after,pubs_per_year_before,pubs_per_year_after,pub_lift,cites_before,cites_after,cites_per_year_before,cites_per_year_after,citation_lift
https://openalex.org/A5078308184,Madeline Balaam,Senior,2016,2009.0,36,41,12.0,13.666666666666666,1.6666666666666667,931,1134,310.3333333333333,378.0,67.66666666666667
https://openalex.org/A5001232416,John McCarthy,Senior,2018,1899.0,25,16,8.333333333333334,5.333333333333333,-3.0,448,222,149.33333333333334,74.0,-75.33333333333333
https://openalex.org/A5032939256,Timur Osadchiy,Junior,2018,2017.0,1,9,0.3333333333333333,3.0,2.6666666666666665,20,187,6.666666666666667,62.333333333333336,55.666666666666664
https://openalex.org/A5057143988,Kellie Morrissey,Senior,2018,2011.0,12,15,4.0,5.0,1.0,668,252,222.66666666666666,84.0,-138.66666666666666
https://openalex.org/A5031349141,Foad Hamidi,Senior,2018,2005.0,16,21,5.333333333333333,7.0,1.6666666666666667,138,310,46.0,103.33333333333333,57.333333333333336
https://openalex.org/A5084538652,Morgan Klaus Scheuerman,Junior,2018,2017.0,2,19,0.6666666666666666,6.333333333333333,5.666666666666667,65,1178,21.666666666666668,392.6666666666667,371.0
https://openalex.org/A5026377321,Stacy Branham,Senior,2015,2009.0,7,18,2.3333333333333335,6.0,3.6666666666666665,90,1279,30.0,426.3333333333333,396.3333333333333
https://openalex.org/A5074985413,Yvonne Jansen,Senior,2018,2007.0,17,14,5.666666666666667,4.666666666666667,-1.0,1290,332,430.0,110.66666666666667,-319.3333333333333
https://openalex.org/A5015615908,Kasper Hornbæk,Senior,2016,1999.0,42,33,14.0,11.0,-3.0,2432,1886,810.6666666666666,628.6666666666666,-182.0
https://openalex.org/A5063697388,Martin Porcheron,Junior,2018,2013.0,11,23,3.6666666666666665,7.666666666666667,4.0,325,273,108.33333333333333,91.0,-17.333333333333332
https://openalex.org/A5091627990,Joel E. Fischer,Senior,2011,1953.0,7,22,2.3333333333333335,7.333333333333333,5.0,170,519,56.666666666666664,173.0,116.33333333333333
https://openalex.org/A5020860057,Stuart Reeves,Senior,2005,2001.0,5,8,1.6666666666666667,2.6666666666666665,1.0,10,338,3.3333333333333335,112.66666666666667,109.33333333333333
https://openalex.org/A5054151701,Sarah Sharples,Senior,2018,1993.0,47,21,15.666666666666666,7.0,-8.666666666666666,869,424,289.6666666666667,141.33333333333334,-148.33333333333334
https://openalex.org/A5070837664,Nicholas Vincent,Senior,2018,1991.0,26,37,8.666666666666666,12.333333333333334,3.6666666666666665,121,267,40.333333333333336,89.0,48.666666666666664
https://openalex.org/A5005448339,Brent Hecht,Senior,2010,2005.0,8,10,2.6666666666666665,3.3333333333333335,0.6666666666666666,326,1311,108.66666666666667,437.0,328.3333333333333
https://openalex.org/A5034634435,Ari Schlesinger,Junior,2018,2017.0,3,0,1.0,0.0,-1.0,483,0,161.0,0.0,-161.0
https://openalex.org/A5064650373,Kenton O’Hara,Senior,2007,1991.0,8,22,2.6666666666666665,7.333333333333333,4.666666666666667,373,572,124.33333333333333,190.66666666666666,66.33333333333333
https://openalex.org/A5029562752,Alex Taylor,Senior,2018,1960.0,16,24,5.333333333333333,8.0,2.6666666666666665,472,420,157.33333333333334,140.0,-17.333333333333332
https://openalex.org/A5023043627,Megh Marathe,Senior,2018,2004.0,4,6,1.3333333333333333,2.0,0.6666666666666666,85,58,28.333333333333332,19.333333333333332,-9.0
https://openalex.org/A5100354637,Yang Zhang,Senior,2018,2006.0,12,26,4.0,8.666666666666666,4.666666666666667,489,955,163.0,318.3333333333333,155.33333333333334
https://openalex.org/A5071383028,Chouchang Yang,Senior,2018,2006.0,6,1,2.0,0.3333333333333333,-1.6666666666666667,945,11,315.0,3.6666666666666665,-311.3333333333333
https://openalex.org/A5039238746,Scott E. Hudson,Senior,2005,1977.0,25,32,8.333333333333334,10.666666666666666,2.3333333333333335,1331,1818,443.6666666666667,606.0,162.33333333333334
https://openalex.org/A5029290807,Chris Harrison,Senior,2010,1987.0,13,37,4.333333333333333,12.333333333333334,8.0,1244,2358,414.6666666666667,786.0,371.3333333333333
https://openalex.org/A5047416400,Alanson P. Sample,Senior,2016,2006.0,23,21,7.666666666666667,7.0,-0.6666666666666666,1244,820,414.6666666666667,273.3333333333333,-141.33333333333334
https://openalex.org/A5028106242,Asheley R. Landrum,Senior,2018,2011.0,20,36,6.666666666666667,12.0,5.333333333333333,608,461,202.66666666666666,153.66666666666666,-49.0
https://openalex.org/A5090363920,Joseph Hilgard,Senior,2018,2009.0,28,18,9.333333333333334,6.0,-3.3333333333333335,654,1055,218.0,351.6666666666667,133.66666666666666
https://openalex.org/A5078903072,Robert B. Lull,Junior,2018,2014.0,14,1,4.666666666666667,0.3333333333333333,-4.333333333333333,268,12,89.33333333333333,4.0,-85.33333333333333
https://openalex.org/A5010424762,Heather Akin,Senior,2018,2004.0,18,9,6.0,3.0,-3.0,508,93,169.33333333333334,31.0,-138.33333333333334
https://openalex.org/A5060508167,Kathleen Hall Jamieson,Senior,2018,1975.0,40,65,13.333333333333334,21.666666666666668,8.333333333333334,2165,2545,721.6666666666666,848.3333333333334,126.66666666666667
https://openalex.org/A5011438930,Jessica L. Feuston,Junior,2018,2014.0,4,6,1.3333333333333333,2.0,0.6666666666666666,140,274,46.666666666666664,91.33333333333333,44.666666666666664
https://openalex.org/A5091847639,Caroline Edasis,Junior,2017,2016.0,2,1,0.6666666666666666,0.3333333333333333,-0.3333333333333333,131,92,43.666666666666664,30.666666666666668,-13.0
