paper_openalex_id,paper_title,conference,award_year,author_id,author_name,author_position
https://openalex.org/W2787712888,Voice Interfaces in Everyday Life,CHI,2018,https://openalex.org/A5020860057,Stuart Reeves,middle
https://openalex.org/W2787712888,Voice Interfaces in Everyday Life,CHI,2018,https://openalex.org/A5054151701,Sarah Sharples,last
https://openalex.org/W2795582800,Examining Wikipedia With a Broader Lens: Quantifying the Value of Wikipedia's Relationships with Other Large-Scale Online Communities,CHI,2018,https://openalex.org/A5070837664,Nicholas Vincent,first
https://openalex.org/W2795582800,Examining Wikipedia With a Broader Lens: Quantifying the Value of Wikipedia's Relationships with Other Large-Scale Online Communities,CHI,2018,https://openalex.org/A5034891790,Isaac Johnson,middle
https://openalex.org/W2795582800,Examining Wikipedia With a Broader Lens: Quantifying the Value of Wikipedia's Relationships with Other Large-Scale Online Communities,CHI,2018,https://openalex.org/A5005448339,Brent Hecht,last
https://openalex.org/W2795389852,"Let's Talk About Race: Identity, Chatbots, and AI",CHI,2018,https://openalex.org/A5034634435,Ari Schlesinger,first
https://openalex.org/W2795389852,"Let's Talk About Race: Identity, Chatbots, and AI",CHI,2018,https://openalex.org/A5064650373,Kenton O’Hara,middle
https://openalex.org/W2795389852,"Let's Talk About Race: Identity, Chatbots, and AI",CHI,2018,https://openalex.org/A5029562752,Alex Taylor,last
https://openalex.org/W2795783386,Semi-Automated Coding for Qualitative Research: A User-Centered Inquiry and Initial Prototypes,CHI,2018,https://openalex.org/A5023043627,Megh Marathe,first
https://openalex.org/W2795783386,Semi-Automated Coding for Qualitative Research: A User-Centered Inquiry and Initial Prototypes,CHI,2018,https://openalex.org/A5032452724,Kentaro Toyama,last
https://openalex.org/W2796076588,Wall++: Room-Scale Interactive and Context-Aware Sensing,CHI,2018,https://openalex.org/A5100354637,Yang Zhang,first
https://openalex.org/W2796076588,Wall++: Room-Scale Interactive and Context-Aware Sensing,CHI,2018,https://openalex.org/A5071383028,Chouchang Yang,middle
https://openalex.org/W2796076588,Wall++: Room-Scale Interactive and Context-Aware Sensing,CHI,2018,https://openalex.org/A5039238746,Scott E. Hudson,middle
https://openalex.org/W2796076588,Wall++: Room-Scale Interactive and Context-Aware Sensing,CHI,2018,https://openalex.org/A5029290807,Chris Harrison,middle
https://openalex.org/W2796076588,Wall++: Room-Scale Interactive and Context-Aware Sensing,CHI,2018,https://openalex.org/A5047416400,Alanson P. Sample,last
https://openalex.org/W2807472134,HARK No More: On the Preregistration of CHI Experiments,CHI,2018,https://openalex.org/A5028106242,Asheley R. Landrum,first
https://openalex.org/W2807472134,HARK No More: On the Preregistration of CHI Experiments,CHI,2018,https://openalex.org/A5090363920,Joseph Hilgard,middle
https://openalex.org/W2807472134,HARK No More: On the Preregistration of CHI Experiments,CHI,2018,https://openalex.org/A5078903072,Robert B. Lull,middle
https://openalex.org/W2807472134,HARK No More: On the Preregistration of CHI Experiments,CHI,2018,https://openalex.org/A5010424762,Heather Akin,middle
https://openalex.org/W2807472134,HARK No More: On the Preregistration of CHI Experiments,CHI,2018,https://openalex.org/A5060508167,Kathleen Hall Jamieson,last
https://openalex.org/W2795429875,Making as Expression: Informing Design with People with Complex Communication Needs through Art Therapy,CHI,2018,https://openalex.org/A5014790341,Amanda Lazar,first
https://openalex.org/W2795429875,Making as Expression: Informing Design with People with Complex Communication Needs through Art Therapy,CHI,2018,https://openalex.org/A5011438930,Jessica L. Feuston,middle
https://openalex.org/W2795429875,Making as Expression: Informing Design with People with Complex Communication Needs through Art Therapy,CHI,2018,https://openalex.org/A5091847639,Caroline Edasis,middle
https://openalex.org/W2795429875,Making as Expression: Informing Design with People with Complex Communication Needs through Art Therapy,CHI,2018,https://openalex.org/A5066173469,Anne Marie Piper,last
https://openalex.org/W2795442664,Expressive Time Series Querying with Hand-Drawn Scale-Free Sketches,CHI,2018,https://openalex.org/A5075026385,Miro Mannino,first
https://openalex.org/W2795442664,Expressive Time Series Querying with Hand-Drawn Scale-Free Sketches,CHI,2018,https://openalex.org/A5044418740,Azza Abouzied,last
https://openalex.org/W2795619128,Project Zanzibar: A Portable and Flexible Tangible Interaction Platform,CHI,2018,https://openalex.org/A5066919494,Nicolas Villar,first
https://openalex.org/W2795619128,Project Zanzibar: A Portable and Flexible Tangible Interaction Platform,CHI,2018,https://openalex.org/A5000796744,Daniel Cletheroe,middle
https://openalex.org/W2795619128,Project Zanzibar: A Portable and Flexible Tangible Interaction Platform,CHI,2018,https://openalex.org/A5041491565,Greg Saul,middle
https://openalex.org/W2795619128,Project Zanzibar: A Portable and Flexible Tangible Interaction Platform,CHI,2018,https://openalex.org/A5046815740,Christian Holz,middle
https://openalex.org/W2795619128,Project Zanzibar: A Portable and Flexible Tangible Interaction Platform,CHI,2018,https://openalex.org/A5089370410,Tim Regan,middle
https://openalex.org/W2795619128,Project Zanzibar: A Portable and Flexible Tangible Interaction Platform,CHI,2018,https://openalex.org/A5046813937,Oscar Salandin,middle
https://openalex.org/W2795619128,Project Zanzibar: A Portable and Flexible Tangible Interaction Platform,CHI,2018,https://openalex.org/A5029380651,Misha Sra,middle
https://openalex.org/W2795619128,Project Zanzibar: A Portable and Flexible Tangible Interaction Platform,CHI,2018,https://openalex.org/A5028482882,Hui-Shyong Yeo,middle
https://openalex.org/W2795619128,Project Zanzibar: A Portable and Flexible Tangible Interaction Platform,CHI,2018,https://openalex.org/A5073012307,William J. Field,middle
https://openalex.org/W2795619128,Project Zanzibar: A Portable and Flexible Tangible Interaction Platform,CHI,2018,https://openalex.org/A5048262602,Haiyan Zhang,last
https://openalex.org/W2795552328,Experiencing the Body as Play,CHI,2018,https://openalex.org/A5071394525,Florian Mueller,first
https://openalex.org/W2795552328,Experiencing the Body as Play,CHI,2018,https://openalex.org/A5012929048,Richard Byrne,middle
https://openalex.org/W2795552328,Experiencing the Body as Play,CHI,2018,https://openalex.org/A5086240513,Josh Andrés,middle
https://openalex.org/W2795552328,Experiencing the Body as Play,CHI,2018,https://openalex.org/A5061987881,Rakesh Patibanda,last
https://openalex.org/W2795802000,Making Core Memory: Design Inquiry into Gendered Legacies of Engineering and Craftwork,CHI,2018,https://openalex.org/A5021902946,Daniela K. Rosner,first
https://openalex.org/W2795802000,Making Core Memory: Design Inquiry into Gendered Legacies of Engineering and Craftwork,CHI,2018,https://openalex.org/A5051153434,Samantha Shorey,middle
https://openalex.org/W2795802000,Making Core Memory: Design Inquiry into Gendered Legacies of Engineering and Craftwork,CHI,2018,https://openalex.org/A5019431004,Brock Craft,middle
https://openalex.org/W2795802000,Making Core Memory: Design Inquiry into Gendered Legacies of Engineering and Craftwork,CHI,2018,https://openalex.org/A5071897087,Helen Remick,last
https://openalex.org/W2795651511,Design for Collaborative Survival: An Inquiry into Human-Fungi Relationships,CHI,2018,https://openalex.org/A5109428307,Jen Liu,first
https://openalex.org/W2795651511,Design for Collaborative Survival: An Inquiry into Human-Fungi Relationships,CHI,2018,https://openalex.org/A5001613449,Daragh Byrne,middle
https://openalex.org/W2795651511,Design for Collaborative Survival: An Inquiry into Human-Fungi Relationships,CHI,2018,https://openalex.org/A5038303490,Laura Devendorf,last
