author_id,display_name,works_count,cited_by_count,h_index,i10_index,first_pub_year_countsbyyear
https://openalex.org/A5060197233,Sara Douglas,17,363,10,10,1985
https://openalex.org/A5017969777,Misa Maruyama,16,362,10,10,2012
https://openalex.org/A5108258077,Jeremy Chang,16,472,8,8,1994
https://openalex.org/A5017750168,Eric Brockmeyer,15,976,10,10,2012
https://openalex.org/A5091000507,Dylan Knowles,15,271,10,10,2012
https://openalex.org/A5084276322,Stephen Forshaw,13,400,9,9,2012
https://openalex.org/A5087981305,Heather Faucett,9,513,9,8,2014
https://openalex.org/A5025561860,Constantin Schmidt,6,262,5,4,1945
https://openalex.org/A5064335088,Alan R. Andrade,5,168,4,4,2015
https://openalex.org/A5023724965,Ross Teviotdale,3,69,3,3,2015
https://openalex.org/A5081036622,David Lo,985,31958,92,507,1988
https://openalex.org/A5078533117,Lionel Briand,630,29356,84,362,1992
https://openalex.org/A5061605447,Thomas Zimmermann,522,21946,74,180,1991
https://openalex.org/A5025099559,Massimiliano Di Penta,519,20285,78,283,2001
https://openalex.org/A5108257764,Dieter Fox,511,40224,94,271,1996
https://openalex.org/A5056376686,Alessandro Moschitti,362,10741,49,162,2000
https://openalex.org/A5009727039,Rocco Oliveto,357,14445,73,177,1993
https://openalex.org/A5014866889,Rocco A. Servedio,350,5765,44,129,1999
https://openalex.org/A5056526226,Gabriele Bavota,336,12606,65,165,2010
https://openalex.org/A5076056716,Piotr Indyk,325,30770,75,180,1994
https://openalex.org/A5041262116,Denys Poshyvanyk,312,15759,76,186,2005
https://openalex.org/A5076208440,Ian Gorton,309,4807,35,101,1988
https://openalex.org/A5066142047,Chinmay Hegde,269,2575,26,66,2007
https://openalex.org/A5091150085,Antonio Criminisi,260,31103,71,140,1995
https://openalex.org/A5101058302,Haipeng Luo,247,2044,23,49,1998
https://openalex.org/A5101612061,Nachiappan Nagappan,243,15316,58,136,2003
https://openalex.org/A5030961858,Alessandro Orso,230,11142,57,137,1997
https://openalex.org/A5068254275,Steven M. Seitz,199,30166,70,123,1984
https://openalex.org/A5079888779,İpek Özkaya,178,3672,28,59,2001
https://openalex.org/A5013166918,Johan Håstad,173,10611,44,101,1985
https://openalex.org/A5075879790,Mayur Naik,162,8827,37,76,1999
https://openalex.org/A5074393374,Shiva Nejati,160,3157,30,63,2003
https://openalex.org/A5073916921,Samuel Rota Bulò,157,6165,37,74,2006
https://openalex.org/A5029451171,Li-Yang Tan,150,755,14,23,1985
https://openalex.org/A5033114444,Neil Ernst,148,2611,29,53,2001
https://openalex.org/A5057124086,Robert L. Nord,146,6289,30,58,1980
https://openalex.org/A5069439324,Mario Linares‐Vásquez,139,4942,39,74,2011
https://openalex.org/A5049483484,George C. Necula,136,10226,38,71,1996
https://openalex.org/A5114021051,Satyen Kale,126,9031,37,69,2004
https://openalex.org/A5017062041,Peter Kontschieder,104,3643,24,36,2008
https://openalex.org/A5110578233,Ludwig Schmidt,84,5665,29,49,1982
https://openalex.org/A5111937381,Aditya V. Nori,84,3571,32,47,2001
https://openalex.org/A5078135763,Alina Beygelzimer,75,6012,23,34,1999
https://openalex.org/A5007686466,Benjamin Rossman,70,1164,16,21,2003
https://openalex.org/A5016750744,Janet Siegmund,67,2029,25,34,2012
https://openalex.org/A5063364372,Madalina Fiterau,61,1469,11,13,2009
https://openalex.org/A5002052018,Ravi Mangal,53,361,9,8,2014
