author_id,treatment,rel_year,works,citations
https://openalex.org/A5001720469,0,1,1,2
https://openalex.org/A5001722321,1,-4,1,56
https://openalex.org/A5001722321,1,-3,1,63
https://openalex.org/A5001722321,1,-2,1,13
https://openalex.org/A5001722321,1,0,5,118
https://openalex.org/A5001722321,1,1,5,58
https://openalex.org/A5001722321,1,2,1,138
https://openalex.org/A5001722321,1,3,4,275
https://openalex.org/A5001760915,1,-5,1,0
https://openalex.org/A5001760915,1,-3,3,12
https://openalex.org/A5001760915,1,-1,6,725
https://openalex.org/A5001760915,1,0,3,21
https://openalex.org/A5001760915,1,1,2,263
https://openalex.org/A5001760915,1,2,3,928
https://openalex.org/A5001760915,1,3,7,569
https://openalex.org/A5001760915,1,4,10,434
https://openalex.org/A5001760915,1,5,16,1383
https://openalex.org/A5001781037,0,-5,8,82
https://openalex.org/A5001781037,0,-4,5,36
https://openalex.org/A5001781037,0,-3,8,19
https://openalex.org/A5001781037,0,-2,5,40
https://openalex.org/A5001781037,0,-1,10,124
https://openalex.org/A5001781037,0,0,10,488
https://openalex.org/A5001781037,0,1,6,36
https://openalex.org/A5001781037,0,2,8,86
https://openalex.org/A5001781037,0,3,10,197
https://openalex.org/A5001781037,0,4,9,23
https://openalex.org/A5001781037,0,5,8,58
https://openalex.org/A5001788317,0,-5,15,608
https://openalex.org/A5001788317,0,-4,19,2167
https://openalex.org/A5001788317,0,-3,12,418
https://openalex.org/A5001788317,0,-2,8,149
https://openalex.org/A5001788317,0,-1,8,60
https://openalex.org/A5001788317,0,0,9,559
https://openalex.org/A5001788317,0,1,10,367
https://openalex.org/A5001788317,0,2,9,215
https://openalex.org/A5001788317,0,3,10,54
https://openalex.org/A5001788317,0,4,5,68
https://openalex.org/A5001788317,0,5,9,30
https://openalex.org/A5001807091,1,-3,1,4
https://openalex.org/A5001807091,1,-2,1,3
https://openalex.org/A5001807091,1,0,1,91
https://openalex.org/A5001875469,1,-1,1,40
https://openalex.org/A5001875469,1,0,2,39
https://openalex.org/A5001875469,1,1,1,16
https://openalex.org/A5001875469,1,2,1,0
https://openalex.org/A5001875469,1,3,1,27
https://openalex.org/A5001875469,1,4,1,2
https://openalex.org/A5001878365,0,-5,10,142
https://openalex.org/A5001878365,0,-4,14,375
https://openalex.org/A5001878365,0,-3,7,357
https://openalex.org/A5001878365,0,-2,9,210
https://openalex.org/A5001878365,0,-1,10,392
https://openalex.org/A5001878365,0,0,12,96
https://openalex.org/A5001878365,0,1,7,115
https://openalex.org/A5001878365,0,2,16,397
https://openalex.org/A5001878365,0,3,13,376
https://openalex.org/A5001878365,0,4,6,75
https://openalex.org/A5001878365,0,5,11,71
https://openalex.org/A5002052018,1,0,6,164
https://openalex.org/A5002052018,1,1,3,82
https://openalex.org/A5002052018,1,2,5,30
https://openalex.org/A5002052018,1,4,2,1
https://openalex.org/A5002052018,1,5,1,5
https://openalex.org/A5002059431,0,-5,3,205
https://openalex.org/A5002059431,0,-4,4,548
https://openalex.org/A5002059431,0,-3,5,739
https://openalex.org/A5002059431,0,-2,3,22
https://openalex.org/A5002059431,0,-1,4,7
https://openalex.org/A5002059431,0,0,9,281
https://openalex.org/A5002059431,0,1,5,146
https://openalex.org/A5002059431,0,2,4,315
https://openalex.org/A5002059431,0,3,5,174
https://openalex.org/A5002059431,0,4,5,57
https://openalex.org/A5002119636,0,-5,7,6
https://openalex.org/A5002119636,0,-4,17,396
https://openalex.org/A5002119636,0,-3,8,161
https://openalex.org/A5002119636,0,-2,12,291
https://openalex.org/A5002119636,0,-1,27,458
https://openalex.org/A5002119636,0,0,21,386
https://openalex.org/A5002119636,0,1,16,302
https://openalex.org/A5002119636,0,2,13,123
https://openalex.org/A5002119636,0,3,12,88
https://openalex.org/A5002119636,0,4,15,282
https://openalex.org/A5002119636,0,5,19,85
https://openalex.org/A5002186360,1,0,1,211
https://openalex.org/A5002186360,1,1,2,459
https://openalex.org/A5002186360,1,2,1,148
https://openalex.org/A5002208831,0,-5,3,215
https://openalex.org/A5002208831,0,-4,8,2018
https://openalex.org/A5002208831,0,-3,5,189
https://openalex.org/A5002208831,0,-2,12,4031
https://openalex.org/A5002208831,0,-1,24,1654
https://openalex.org/A5002208831,0,0,11,464
https://openalex.org/A5002208831,0,1,9,742
https://openalex.org/A5002208831,0,2,4,93
https://openalex.org/A5002208831,0,3,10,358
https://openalex.org/A5002208831,0,4,4,100
https://openalex.org/A5002208831,0,5,5,68
https://openalex.org/A5002208932,0,-5,10,112
https://openalex.org/A5002208932,0,-4,11,1784
https://openalex.org/A5002208932,0,-3,6,396
