author_id,group,award_year,paper_id,paper_year,relative_year
https://openalex.org/A5102012317,award,2018,W2626738193,2017,-1
https://openalex.org/A5102012317,award,2018,W4386081214,2023,5
https://openalex.org/A5102012317,award,2018,W4386044737,2023,5
https://openalex.org/A5032569584,award,2018,W2588627057,2017,-1
https://openalex.org/A5032569584,award,2018,W2964064835,2018,0
https://openalex.org/A5032569584,award,2018,W2795266985,2018,0
https://openalex.org/A5032569584,award,2018,W1974088888,2015,-3
https://openalex.org/A5032569584,award,2018,W4300596326,2018,0
https://openalex.org/A5032569584,award,2018,W2612325544,2017,-1
https://openalex.org/A5030456881,award,2018,W7133238715,2023,5
https://openalex.org/A5030456881,award,2018,W2800007566,2018,0
https://openalex.org/A5030456881,award,2018,W2904170485,2019,1
https://openalex.org/A5030456881,award,2018,W2173346248,2016,-2
https://openalex.org/A5030456881,award,2018,W4382239758,2023,5
https://openalex.org/A5030456881,award,2018,W4390355923,2023,5
https://openalex.org/A5030456881,award,2018,W3126149020,2021,3
https://openalex.org/A5030456881,award,2018,W2582911330,2015,-3
https://openalex.org/A5030456881,award,2018,W4283801895,2022,4
https://openalex.org/A5030456881,award,2018,W2947170863,2019,1
https://openalex.org/A5030456881,award,2018,W2971333304,2019,1
https://openalex.org/A5030456881,award,2018,W3008006987,2020,2
https://openalex.org/A5030456881,award,2018,W2951072361,2019,1
https://openalex.org/A5030456881,award,2018,W4288346340,2019,1
https://openalex.org/A5030456881,award,2018,W4321855099,2023,5
https://openalex.org/A5030456881,award,2018,W2981822405,2019,1
https://openalex.org/A5030456881,award,2018,W3099355638,2020,2
https://openalex.org/A5030456881,award,2018,W4379958483,2023,5
https://openalex.org/A5030456881,award,2018,W2904073368,2016,-2
https://openalex.org/A5030456881,award,2018,W4300164932,2018,0
https://openalex.org/A5030456881,award,2018,W4313446105,2022,4
https://openalex.org/A5030456881,award,2018,W4317940399,2023,5
https://openalex.org/A5030456881,award,2018,W4389156486,2023,5
https://openalex.org/A5030456881,award,2018,W4389821024,2023,5
https://openalex.org/A5030456881,award,2018,W4390306538,2023,5
https://openalex.org/A5064520344,award,2018,W2604795503,2017,-1
https://openalex.org/A5064520344,award,2018,W2962704246,2018,0
https://openalex.org/A5064520344,award,2018,W1748749724,2021,3
https://openalex.org/A5064520344,award,2018,W2808551187,2018,0
https://openalex.org/A5064520344,award,2018,W2756654724,2017,-1
https://openalex.org/A5064520344,award,2018,W2760577196,2017,-1
https://openalex.org/A5064520344,award,2018,W2790903485,2018,0
https://openalex.org/A5064520344,award,2018,W2741373390,2017,-1
https://openalex.org/A5064520344,award,2018,W2745165948,2017,-1
https://openalex.org/A5064520344,award,2018,W2740431674,2017,-1
https://openalex.org/A5064520344,award,2018,W2787080188,2019,1
https://openalex.org/A5064520344,award,2018,W2767055464,2018,0
https://openalex.org/A5064520344,award,2018,W2535023119,2017,-1
https://openalex.org/A5064520344,award,2018,W1929396203,2015,-3
https://openalex.org/A5064520344,award,2018,W2573073543,2015,-3
https://openalex.org/A5064520344,award,2018,W2798763787,2018,0
https://openalex.org/A5064520344,award,2018,W2896825822,2018,0
https://openalex.org/A5064520344,award,2018,W2952247896,2016,-2
https://openalex.org/A5058510425,award,2018,W2808551187,2018,0
https://openalex.org/A5058510425,award,2018,W3037646323,2020,2
https://openalex.org/A5058510425,award,2018,W2946022203,2019,1
https://openalex.org/A5058510425,award,2018,W3034062213,2020,2
https://openalex.org/A5058510425,award,2018,W2805455759,2018,0
https://openalex.org/A5058510425,award,2018,W3016591907,2021,3
https://openalex.org/A5058510425,award,2018,W3111930765,2020,2
https://openalex.org/A5058510425,award,2018,W3112188358,2020,2
https://openalex.org/A5058510425,award,2018,W4382765925,2023,5
https://openalex.org/A5058510425,award,2018,W7149351394,2020,2
https://openalex.org/A5100342798,award,2018,W2792261072,2018,0
https://openalex.org/A5100342798,award,2018,W3017072639,2020,2
https://openalex.org/A5100342798,award,2018,W2987160260,2019,1
https://openalex.org/A5100342798,award,2018,W2963220038,2017,-1
https://openalex.org/A5100342798,award,2018,W3009278394,2020,2
https://openalex.org/A5100342798,award,2018,W2808452017,2018,0
https://openalex.org/A5100342798,award,2018,W4293330723,2022,4
https://openalex.org/A5100342798,award,2018,W4388857350,2023,5
https://openalex.org/A5100342798,award,2018,W4385805185,2023,5
https://openalex.org/A5100342798,award,2018,W2982359148,2019,1
https://openalex.org/A5100342798,award,2018,W3160746813,2021,3
https://openalex.org/A5100342798,award,2018,W2981088827,2019,1
https://openalex.org/A5100342798,award,2018,W4285288662,2022,4
https://openalex.org/A5100342798,award,2018,W4389165109,2023,5
https://openalex.org/A5100342798,award,2018,W4365794555,2023,5
https://openalex.org/A5100342798,award,2018,W4386339092,2022,4
https://openalex.org/A5100342798,award,2018,W4321608007,2023,5
https://openalex.org/A5100342798,award,2018,W4290996372,2022,4
https://openalex.org/A5100342798,award,2018,W3134774040,2020,2
https://openalex.org/A5100342798,award,2018,W4386360558,2023,5
https://openalex.org/A5100342798,award,2018,W4250949540,2021,3
https://openalex.org/A5100342798,award,2018,W2904845790,2018,0
https://openalex.org/A5100342798,award,2018,W4225399254,2022,4
https://openalex.org/A5100342798,award,2018,W2896432579,2018,0
https://openalex.org/A5100342798,award,2018,W2792478646,2017,-1
https://openalex.org/A5100342798,award,2018,W4313525607,2022,4
https://openalex.org/A5100342798,award,2018,W2771910532,2017,-1
https://openalex.org/A5100342798,award,2018,W4387074830,2023,5
https://openalex.org/A5100342798,award,2018,W4387929063,2023,5
https://openalex.org/A5100342798,award,2018,W4362513220,2023,5
https://openalex.org/A5100342798,award,2018,W4285684816,2022,4
https://openalex.org/A5100342798,award,2018,W4290190602,2022,4
https://openalex.org/A5100342798,award,2018,W4328095109,2023,5
https://openalex.org/A5100342798,award,2018,W4377029496,2023,5
https://openalex.org/A5100342798,award,2018,W4381714584,2023,5
https://openalex.org/A5100342798,award,2018,W4387544203,2023,5
https://openalex.org/A5100342798,award,2018,W4388843157,2023,5
https://openalex.org/A5100342798,award,2018,W4392152935,2023,5
https://openalex.org/A5082318381,award,2018,W3207330630,2021,3
https://openalex.org/A5082318381,award,2018,W3021695453,2019,1
https://openalex.org/A5082318381,award,2018,W3144122738,2021,3
https://openalex.org/A5082318381,award,2018,W4360604301,2023,5
https://openalex.org/A5082318381,award,2018,W3047053781,2020,2
https://openalex.org/A5082318381,award,2018,W3125048251,2020,2
https://openalex.org/A5082318381,award,2018,W3134817292,2021,3
https://openalex.org/A5082318381,award,2018,W4365421095,2023,5
https://openalex.org/A5082318381,award,2018,W2998343333,2019,1
https://openalex.org/A5082318381,award,2018,W4226301176,2022,4
https://openalex.org/A5082318381,award,2018,W2789643397,2018,0
https://openalex.org/A5082318381,award,2018,W2547011744,2016,-2
https://openalex.org/A5082318381,award,2018,W4226242820,2022,4
https://openalex.org/A5082318381,award,2018,W3129158343,2016,-2
https://openalex.org/A5082318381,award,2018,W4286898644,2021,3
https://openalex.org/A5082318381,award,2018,W4292939388,2022,4
https://openalex.org/A5036229988,award,2018,W4376142240,2023,5
https://openalex.org/A5036229988,award,2018,W2292446757,2015,-3
https://openalex.org/A5036229988,award,2018,W4383740951,2023,5
https://openalex.org/A5036229988,award,2018,W4226442923,2022,4
https://openalex.org/A5036229988,award,2018,W3134817292,2021,3
https://openalex.org/A5036229988,award,2018,W4387870381,2023,5
https://openalex.org/A5036229988,award,2018,W3003811274,2020,2
https://openalex.org/A5036229988,award,2018,W4386066994,2023,5
https://openalex.org/A5036229988,award,2018,W4390188670,2023,5
https://openalex.org/A5036229988,award,2018,W4391021421,2023,5
https://openalex.org/A5036229988,award,2018,W3155357283,2021,3
https://openalex.org/A5036229988,award,2018,W3082159561,2020,2
https://openalex.org/A5036229988,award,2018,W4289261348,2022,4
https://openalex.org/A5036229988,award,2018,W4317438324,2023,5
https://openalex.org/A5036229988,award,2018,W2007689358,2014,-4
https://openalex.org/A5036229988,award,2018,W2789643397,2018,0
https://openalex.org/A5036229988,award,2018,W3197488415,2021,3
https://openalex.org/A5036229988,award,2018,W221220721,2014,-4
https://openalex.org/A5036229988,award,2018,W2547807832,2016,-2
https://openalex.org/A5036229988,award,2018,W3183281974,2021,3
https://openalex.org/A5036229988,award,2018,W4393242468,2023,5
https://openalex.org/A5036229988,award,2018,W2815913921,2018,0
https://openalex.org/A5036229988,award,2018,W2568680725,2017,-1
https://openalex.org/A5036229988,award,2018,W4310447060,2021,3
https://openalex.org/A5036229988,award,2018,W4384157887,2023,5
https://openalex.org/A5036229988,award,2018,W4386915041,2023,5
https://openalex.org/A5036229988,award,2018,W4388405354,2023,5
https://openalex.org/A5036229988,award,2018,W2488076437,2016,-2
https://openalex.org/A5036229988,award,2018,W2622492267,2017,-1
https://openalex.org/A5036229988,award,2018,W3004039626,2019,1
https://openalex.org/A5036229988,award,2018,W3015601061,2019,1
https://openalex.org/A5036229988,award,2018,W3159249449,2015,-3
https://openalex.org/A5036229988,award,2018,W3213069745,2020,2
https://openalex.org/A5036229988,award,2018,W4288009547,2019,1
https://openalex.org/A5036229988,award,2018,W4289105457,2018,0
https://openalex.org/A5036229988,award,2018,W4317496159,2023,5
https://openalex.org/A5036229988,award,2018,W4388405593,2023,5
https://openalex.org/A5025058751,award,2018,W2803831897,2018,0
https://openalex.org/A5025058751,award,2018,W2966149470,2019,1
https://openalex.org/A5025058751,award,2018,W3038342492,2020,2
https://openalex.org/A5025058751,award,2018,W4386568614,2023,5
https://openalex.org/A5025058751,award,2018,W2964271403,2018,0
https://openalex.org/A5025058751,award,2018,W3081325717,2020,2
https://openalex.org/A5025058751,award,2018,W3104278118,2020,2
https://openalex.org/A5025058751,award,2018,W2212967341,2015,-3
https://openalex.org/A5025058751,award,2018,W3099103344,2020,2
https://openalex.org/A5025058751,award,2018,W2804285737,2018,0
