paper_id,paper_year,cd5,ni,nj
W4384026648,2023,-1.0,0,12
W4384302765,2023,-0.45454545454545453,3,8
W3042755891,2020,-0.7142857142857143,1,6
W2888184422,2018,-1.0,0,15
W2548596251,2016,-1.0,0,18
W2408009809,2016,-1.0,0,18
W2915975968,2019,-1.0,0,17
W3201477816,2021,-1.0,0,11
W3157210774,2021,-1.0,0,11
W3162426305,2021,-0.8181818181818182,1,10
W2610500547,2017,-0.7777777777777778,1,8
W2796264185,2018,-1.0,0,11
W2241684952,2015,-0.3333333333333333,3,6
W2242607923,2015,-1.0,0,9
W3189632290,2020,-0.75,1,7
W2597276661,2017,0.14285714285714285,4,3
W2630360502,2017,0.14285714285714285,4,3
W4206770711,2021,-1.0,0,6
W3043159448,2020,-1.0,0,8
W2753999589,2017,-1.0,0,5
W2779927761,2017,-1.0,0,4
W2807463475,2018,-1.0,0,4
W4232906084,2021,-1.0,0,4
W4287882631,2022,0.0,2,2
W4387544206,2023,0.0,2,2
W2174588258,2015,-1.0,0,3
W4312680031,2022,-1.0,0,2
W3131396227,2020,0.3333333333333333,2,1
W4318153987,2023,1.0,1,0
W2527970488,2015,0.0,1,1
W2755242969,2017,0.3333333333333333,2,1
W4282833109,2022,-1.0,0,1
W2953000857,2017,1.0,1,0
W3043276378,2020,1.0,1,0
W2776514146,2017,1.0,22,0
W2981791963,2019,-0.5294117647058824,4,13
W3013340393,2020,1.0,3,0
W2963557656,2018,1.0,50,0
W2797455600,2018,-0.96,1,49
W2884821828,2018,-1.0,0,50
W3146670357,2021,-0.16,21,29
W2797359501,2017,-1.0,0,23
W2798801120,2018,-0.92,2,48
W2736899637,2017,-0.8,5,45
W2913848079,2019,-0.76,6,44
W2781899503,2017,1.0,2,0
W4321749684,2023,0.6666666666666666,20,4
W2790697880,2019,-0.25,6,10
W2944804155,2016,1.0,8,0
W2963143631,2018,1.0,50,0
W2794854061,2018,1.0,5,0
W2980293941,2020,-1.0,0,4
W2964234832,2020,0.3333333333333333,2,1
W2787708942,2018,-0.92,2,48
W2554773066,2018,-1.0,0,3
W3205337276,2021,1.0,1,0
W2913878278,2018,1.0,32,0
W2891057995,2018,1.0,21,0
W3110807238,2020,-0.4,6,14
W2949191696,2019,-0.42857142857142855,2,5
W2888852584,2018,-1.0,0,2
W3034422833,2020,1.0,7,0
W3012385420,2020,0.0,1,1
