paper_id,cited_by_count
W4386044737,0
W2964064835,94
W2884826257,49
W2417132441,34
W2794901250,28
W2795266985,23
W2760307268,20
W2337779325,8
W3014361383,8
W2537680118,24
W2946354830,19
W3092218659,10
W2493296585,20
W2962477312,9
W3024847434,8
W3014215454,6
W4283078203,4
W2594719925,8
W2953562964,8
W4244168173,4
W4312404044,4
W2921692956,3
W2243056059,2
W2808817941,6
W2897817177,5
W2940950649,2
W2805697672,1
W2889237471,1
W3134008646,1
W4398472015,2
W4398302477,1
W4398657618,1
W2103316229,0
W2546634129,0
W2547726119,0
W2612315576,0
W4225566380,0
W4310922830,0
W4383898375,0
W4393432669,0
W4393605781,0
W4393610294,0
W4393689893,0
W4393714803,0
W4393824295,0
W4393846019,0
W4393872909,0
W4394147665,0
W4398260553,0
W4398280321,0
W4398282095,0
W4398293863,0
W4398296585,0
W4398312159,0
W4398316874,0
W4398319989,0
W4398320034,0
W4398320260,0
W4398321045,0
W4398321902,0
W4398323438,0
W4398323535,0
W4398329173,0
W4398333574,0
W4398349218,0
W4398349954,0
W4398351390,0
W4398368498,0
W4398375127,0
W4398378700,0
W4398391302,0
W4398400876,0
W4398404714,0
W4398409544,0
W4398416057,0
W4398422165,0
W4398422284,0
W4398424723,0
W4398426417,0
W4398427320,0
W4398428277,0
W4398429115,0
W4398436297,0
W4398436580,0
W4398445433,0
W4398459807,0
W4398464230,0
W4398465861,0
W4398472801,0
W4398476028,0
W4398477720,0
W4398481864,0
W4398495552,0
W4398499568,0
W4398522883,0
W4398526280,0
W4398548754,0
W4398562394,0
W4398577487,0
W4398579792,0
W4398599053,0
W2604795503,198
W2588627057,122
W1748749724,89
W2942315111,84
W4367395273,39
W2808551187,58
W2756654724,53
W2981274387,34
W2790903485,28
W2741373390,22
W3037646323,17
W2745165948,15
W4362472738,14
W1974088888,10
W4294831693,7
W7133238715,4
W3159964116,3
W2800007566,21
W2904170485,18
W2787080188,15
W3105289605,15
W2767055464,13
W3095892537,13
W2895892112,12
W2173346248,11
W2535023119,9
W3204433194,8
W2945369501,7
W3119238880,6
W4206280395,4
W3119219073,5
W2573073543,2
W2897225817,6
W2968913877,2
W3085221198,2
W4382239758,1
W4390355923,1
W2902579350,3
W2960216239,2
W3126149020,2
W2582911330,1
W4283801895,1
W2805455759,29
W4300596326,16
W2947170863,10
W2971333304,5
W2998729773,5
W3006736514,4
W3008006987,4
W4303650098,4
W4380362583,4
W2951072361,3
W4288346340,3
W4321855099,3
W4385681602,3
W2887443145,2
W2981822405,2
W3099355638,2
W4285388796,2
W4306639115,1
W4379958483,1
W2612325544,0
W2904073368,0
W2942911113,0
W2952247896,0
W2968262044,0
W2985350403,0
W2989909668,0
W3118764125,0
W4300164932,0
W4313446105,0
W4317940399,0
W4389156486,0
W4389821024,0
W4390306538,0
W4398601402,0
W4398616900,0
W4398618791,0
W4398631253,0
W4398645702,0
W4398647580,0
W4398674922,0
W4398675155,0
W4398680478,0
W4398684600,0
W4398688179,0
W4398694293,0
W4398698162,0
W4398704330,0
W4398704788,0
W4398708512,0
W4398713266,0
