conference,family,n_pairs,metric,med_junior,med_senior,diff,ci_j_lo,ci_j_hi,ci_s_lo,ci_s_hi,p_value,sig
ICCV,AI/ML,3,citations,2.8600431965442765,0.9530699871189352,1.9069732094253413,2.581808396124865,14.416666666666666,0.6585482812578871,1.6046025104602513,0.25,False
ICCV,AI/ML,3,works,1.9692307692307691,1.5909090909090908,0.3783216783216783,1.5,4.8,0.9440203562340967,2.6875,0.75,False
ICML,AI/ML,11,citations,2.851063829787234,1.255154639175258,1.595909190611976,1.501930501930502,21.75,0.7669459253617669,2.708003518029903,0.0048828125,True
ICML,AI/ML,11,works,2.5,1.5535714285714286,0.9464285714285714,0.8333333333333334,3.563636363636364,1.176,3.3076923076923075,0.51953125,False
ICSE,SE,48,citations,1.01156015037594,1.6582037996545769,-0.6466436492786369,0.6387984127790151,2.1293756268395483,1.187740498211031,2.661689464341652,0.3055989410548037,False
ICSE,SE,48,works,1.6,1.6345072751322751,-0.03450727513227503,1.375,1.8975,1.447674418604651,2.052083333333333,0.7976301642140945,False
IJCAI,AI/ML,5,citations,0.7333333333333333,1.6582037996545769,-0.9248704663212436,0.2912280701754386,25.714285714285715,0.5475751995089012,4.053175858951175,0.625,False
IJCAI,AI/ML,5,works,2.533333333333333,1.7154431216931216,0.8178902116402116,0.3,6.75,0.8793103448275862,2.6875,0.4375,False
INFOCOM,Systems,12,citations,1.7895,1.545913763563678,0.24358623643632216,1.2791762553844337,3.532051282051282,1.1892975233069099,4.053175858951175,0.791015625,False
INFOCOM,Systems,12,works,1.53,1.7253686196700904,-0.19536861967009034,1.261111111111111,2.3333333333333335,1.5136278195488722,3.14375,0.5693359375,False
KDD,DB/IR,5,citations,1.2566666666666668,1.0598870056497176,0.19677966101694921,0.0041817674937273,19.015384615384612,0.6585482812578871,2.661689464341652,0.3125,False
KDD,DB/IR,5,works,0.6666666666666666,1.4683544303797469,-0.8016877637130803,0.4545454545454545,13.066666666666668,0.9440203562340967,2.2437357630979498,0.8125,False
MOBICOM,Systems,6,citations,0.6566749379652606,1.3695985773744965,-0.712923639409236,0.16219759020903823,1.8744588744588744,0.5458640023800956,29.77438683319395,0.21875,False
MOBICOM,Systems,6,works,0.7461538461538462,1.5,-0.7538461538461538,0.4666666666666667,1.1464646464646466,1.0220101781170485,3.3183962931522357,0.15625,False
NSDI,Systems,5,citations,1.10989010989011,0.9530699871189352,0.15682012277117474,0.4142080745341615,519.25,0.4009648887697668,6.087037037037037,0.8125,False
NSDI,Systems,5,works,2.4,1.5483870967741935,0.8516129032258064,1.0,5.25,0.9471917654956368,2.6875,0.125,False
NeurIPS,AI/ML,3,citations,1.9382022471910112,1.187740498211031,0.7504617489799803,0.95,54.39655172413793,0.9530699871189352,2.661689464341652,0.5,False
NeurIPS,AI/ML,3,works,2.5,2.2437357630979498,0.25626423690205025,1.4666666666666668,13.4,1.5535714285714286,2.6875,1.0,False
OSDI,Systems,13,citations,0.939873417721519,2.414285714285714,-1.474412296564195,0.5094130675526024,24.707692307692305,1.1630615640599002,4.053175858951175,1.0,False
OSDI,Systems,13,works,1.3,1.5483870967741935,-0.24838709677419346,1.0,1.3818181818181818,1.447674418604651,1.826086956521739,0.21630859375,False
PLDI,SE,16,citations,0.5896367521367522,2.661689464341652,-2.0720527122049,0.2222222222222222,1.8671887274155532,1.187740498211031,3.0478260869565217,0.116668701171875,False
PLDI,SE,16,works,1.2666666666666666,2.4295601892412826,-1.162893522574616,0.8533333333333334,1.625125,1.5535714285714286,3.9038461538461537,0.00042724609375,True
PODS,DB/IR,10,citations,2.9893446964225525,3.115829419060981,-0.1264847226384287,1.6285714285714286,10.484782608695653,0.4818565400843882,10.957864575478812,0.76953125,False
PODS,DB/IR,10,works,1.7785714285714287,1.5937663698271347,0.18480505874429398,1.1097222222222223,2.5,1.0997916666666667,3.949292586304471,0.625,False
S&P,Systems,5,citations,2.547872340425532,0.7894736842105263,1.7583986562150058,0.1814345991561181,26.2,0.3277610818933133,1.0548728208059448,0.3125,False
S&P,Systems,5,works,3.0,1.6666666666666667,1.3333333333333333,0.75,3.111111111111111,0.9440203562340967,2.6875,0.625,False
SIGCOMM,Systems,10,citations,0.6711939582833852,1.013450668685935,-0.3422567104025498,0.4901722038615412,2.861084584089277,0.5471297341465243,2.3777777777777778,0.76953125,False
SIGCOMM,Systems,10,works,1.2355555555555555,1.1234866828087167,0.11206887274683885,1.0,2.2460858585858587,0.9456060608648668,1.7399999999999998,0.6953125,False
