author_id,author_name,award_year,conference,career_age_at_award,author_position,match_route,works_count,cited_by_count,h_index,i10_index,2yr_mean_citedness,first_pub_year,counts_by_year
https://openalex.org/A5068145628,Christy A. Coghlan,2018,FSE,0,2,GS→title→OA,7,157,4,2,0.0,2018,"[{""year"": 2018, ""works_count"": 2, ""oa_works_count"": 1, ""cited_by_count"": 100}, {""year"": 2019, ""works_count"": 3, ""oa_works_count"": 2, ""cited_by_count"": 57}, {""year"": 2021, ""works_count"": 2, ""oa_works_count"": 2, ""cited_by_count"": 0}]"
https://openalex.org/A5023724495,Wensheng Dou,2018,FSE,4,2,SS→DOI→OA,79,758,17,27,2.0416666666666665,2014,"[{""year"": 2014, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 46}, {""year"": 2015, ""works_count"": 6, ""oa_works_count"": 1, ""cited_by_count"": 28}, {""year"": 2016, ""works_count"": 3, ""oa_works_count"": 0, ""cited_by_count"": 73}, {""year"": 2017, ""works_count"": 9, ""oa_works_count"": 1, ""cited_by_count"": 84}, {""year"": 2018, ""works_count"": 5, ""oa_works_count"": 0, ""cited_by_count"": 92}, {""year"": 2019, ""works_count"": 3, ""oa_works_count"": 0, ""cited_by_count"": 75}, {""year"": 2020, ""works_count"": 6, ""oa_works_count"": 1, ""cited_by_count"": 52}, {""year"": 2021, ""works_count"": 5, ""oa_works_count"": 0, ""cited_by_count"": 43}, {""year"": 2022, ""works_count"": 8, ""oa_works_count"": 2, ""cited_by_count"": 113}, {""year"": 2023, ""works_count"": 9, ""oa_works_count"": 2, ""cited_by_count"": 103}, {""year"": 2024, ""works_count"": 8, ""oa_works_count"": 6, ""cited_by_count"": 31}, {""year"": 2025, ""works_count"": 14, ""oa_works_count"": 7, ""cited_by_count"": 18}, {""year"": 2026, ""works_count"": 2, ""oa_works_count"": 2, ""cited_by_count"": 0}]"
https://openalex.org/A5091720485,Anish Athalye,2018,ICML,5,1,SS→title→OA,18,4809,12,12,2.0,2018,"[{""year"": 2013, ""works_count"": 1, ""oa_works_count"": 1, ""cited_by_count"": 0}, {""year"": 2017, ""works_count"": 4, ""oa_works_count"": 4, ""cited_by_count"": 736}, {""year"": 2018, ""works_count"": 6, ""oa_works_count"": 5, ""cited_by_count"": 3368}, {""year"": 2019, ""works_count"": 2, ""oa_works_count"": 2, ""cited_by_count"": 597}, {""year"": 2020, ""works_count"": 2, ""oa_works_count"": 1, ""cited_by_count"": 3}, {""year"": 2021, ""works_count"": 1, ""oa_works_count"": 1, ""cited_by_count"": 103}, {""year"": 2023, ""works_count"": 1, ""oa_works_count"": 1, ""cited_by_count"": 0}, {""year"": 2024, ""works_count"": 1, ""oa_works_count"": 1, ""cited_by_count"": 2}]"
https://openalex.org/A5017596078,Lydia T. Liu,2018,ICML,2,1,SS→DOI→OA,29,176,7,6,1.1666666666666667,2016,"[{""year"": 2016, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 10}, {""year"": 2018, ""works_count"": 9, ""oa_works_count"": 6, ""cited_by_count"": 69}, {""year"": 2019, ""works_count"": 2, ""oa_works_count"": 2, ""cited_by_count"": 29}, {""year"": 2020, ""works_count"": 5, ""oa_works_count"": 5, ""cited_by_count"": 36}, {""year"": 2021, ""works_count"": 3, ""oa_works_count"": 3, ""cited_by_count"": 1}, {""year"": 2022, ""works_count"": 1, ""oa_works_count"": 1, ""cited_by_count"": 1}, {""year"": 2023, ""works_count"": 2, ""oa_works_count"": 2, ""cited_by_count"": 23}, {""year"": 2024, ""works_count"": 2, ""oa_works_count"": 2, ""cited_by_count"": 7}, {""year"": 2025, ""works_count"": 4, ""oa_works_count"": 3, ""cited_by_count"": 0}]"
https://openalex.org/A5102012317,Lingling Fan,2018,ICSE,2,1,SS→DOI→OA,62,1659,22,31,0.35714285714285715,2016,"[{""year"": 2016, ""works_count"": 2, ""oa_works_count"": 0, ""cited_by_count"": 22}, {""year"": 2017, ""works_count"": 3, ""oa_works_count"": 3, ""cited_by_count"": 251}, {""year"": 2018, ""works_count"": 4, ""oa_works_count"": 3, ""cited_by_count"": 216}, {""year"": 2019, ""works_count"": 8, ""oa_works_count"": 3, ""cited_by_count"": 294}, {""year"": 2020, ""works_count"": 6, ""oa_works_count"": 2, ""cited_by_count"": 232}, {""year"": 2021, ""works_count"": 10, ""oa_works_count"": 4, ""cited_by_count"": 351}, {""year"": 2022, ""works_count"": 9, ""oa_works_count"": 3, ""cited_by_count"": 228}, {""year"": 2023, ""works_count"": 6, ""oa_works_count"": 2, ""cited_by_count"": 60}, {""year"": 2024, ""works_count"": 4, ""oa_works_count"": 1, ""cited_by_count"": 3}, {""year"": 2025, ""works_count"": 8, ""oa_works_count"": 2, ""cited_by_count"": 2}, {""year"": 2026, ""works_count"": 2, ""oa_works_count"": 1, ""cited_by_count"": 0}]"
https://openalex.org/A5071723330,Timo Rehfeld,2018,ICSE,2,1,GS→title→OA,13,11686,7,6,0.0,2016,"[{""year"": 2016, ""works_count"": 3, ""oa_works_count"": 0, ""cited_by_count"": 11609}, {""year"": 2017, ""works_count"": 4, ""oa_works_count"": 3, ""cited_by_count"": 49}, {""year"": 2018, ""works_count"": 2, ""oa_works_count"": 1, ""cited_by_count"": 10}, {""year"": 2020, ""works_count"": 2, ""oa_works_count"": 0, ""cited_by_count"": 7}, {""year"": 2021, ""works_count"": 1, ""oa_works_count"": 1, ""cited_by_count"": 1}, {""year"": 2022, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 10}]"
https://openalex.org/A5103226106,Leonardo Sousa,2018,ICSE,5,1,SS→DOI→OA,32,663,15,20,1.5,2013,"[{""year"": 2013, ""works_count"": 2, ""oa_works_count"": 2, ""cited_by_count"": 1}, {""year"": 2016, ""works_count"": 5, ""oa_works_count"": 1, ""cited_by_count"": 169}, {""year"": 2017, ""works_count"": 7, ""oa_works_count"": 1, ""cited_by_count"": 171}, {""year"": 2018, ""works_count"": 4, ""oa_works_count"": 1, ""cited_by_count"": 118}, {""year"": 2019, ""works_count"": 4, ""oa_works_count"": 0, ""cited_by_count"": 62}, {""year"": 2020, ""works_count"": 5, ""oa_works_count"": 0, ""cited_by_count"": 131}, {""year"": 2021, ""works_count"": 1, ""oa_works_count"": 1, ""cited_by_count"": 1}, {""year"": 2022, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 3}, {""year"": 2023, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 4}, {""year"": 2025, ""works_count"": 2, ""oa_works_count"": 1, ""cited_by_count"": 3}]"
https://openalex.org/A5056334354,Rijnard van Tonder,2018,ICSE,5,1,SS→DOI→OA,25,298,9,9,4.5,2014,"[{""year"": 2013, ""works_count"": 1, ""oa_works_count"": 1, ""cited_by_count"": 0}, {""year"": 2014, ""works_count"": 2, ""oa_works_count"": 1, ""cited_by_count"": 10}, {""year"": 2016, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 15}, {""year"": 2018, ""works_count"": 4, ""oa_works_count"": 2, ""cited_by_count"": 150}, {""year"": 2019, ""works_count"": 6, ""oa_works_count"": 3, ""cited_by_count"": 82}, {""year"": 2020, ""works_count"": 2, ""oa_works_count"": 1, ""cited_by_count"": 12}, {""year"": 2021, ""works_count"": 1, ""oa_works_count"": 1, ""cited_by_count"": 0}, {""year"": 2022, ""works_count"": 4, ""oa_works_count"": 2, ""cited_by_count"": 20}, {""year"": 2023, ""works_count"": 2, ""oa_works_count"": 1, ""cited_by_count"": 0}, {""year"": 2024, ""works_count"": 2, ""oa_works_count"": 2, ""cited_by_count"": 9}]"
https://openalex.org/A5009835433,Calvin Loncaric,2018,ICSE,3,1,SS→DOI→OA,11,128,6,4,0.0,2015,"[{""year"": 2015, ""works_count"": 2, ""oa_works_count"": 1, ""cited_by_count"": 9}, {""year"": 2016, ""works_count"": 7, ""oa_works_count"": 1, ""cited_by_count"": 89}, {""year"": 2018, ""works_count"": 2, ""oa_works_count"": 1, ""cited_by_count"": 30}]"
https://openalex.org/A5082629071,Michael Rath,2018,ICSE,1,1,SS→DOI→OA,102,264,8,6,0.0,2017,"[{""year"": 2017, ""works_count"": 2, ""oa_works_count"": 0, ""cited_by_count"": 28}, {""year"": 2018, ""works_count"": 29, ""oa_works_count"": 24, ""cited_by_count"": 181}, {""year"": 2019, ""works_count"": 63, ""oa_works_count"": 61, ""cited_by_count"": 32}, {""year"": 2020, ""works_count"": 8, ""oa_works_count"": 6, ""cited_by_count"": 23}]"
