year,conference,paper_title,paper_url,authors
2018,PLDI,"The Semantics of Transactions and Weak Memory in x86, Power, ARM, and C++","https://scholar.google.com/scholar?as_q=&num=10&btnG=Search+Scholar&as_epq=The+Semantics+of+Transactions+and+Weak+Memory+in+x86,+Power,+ARM,+and+C++&as_oq=&as_eq=&as_occt=any&as_sauthors=Chong","Nathan Chong, weapon ; et al. Tyler Sorensen, Imperial College London John Wickerson, Imperial College London"
2018,SIGMOD,SuRF: Practical Range Query Filtering with Fast Succinct Tries,https://scholar.google.com/scholar?as_q=&num=10&btnG=Search+Scholar&as_epq=SuRF:+Practical+Range+Query+Filtering+with+Fast+Succinct+Tries&as_oq=&as_eq=&as_occt=any&as_sauthors=Zhang,"Huanchen Zhang, Carnegie Mellon University ; et al. Hyeontaek Lim, Carnegie Mellon University Viktor Leis, Technical University of Munich David G. Andersen, Carnegie Mellon University Michael Kaminsky, Intel Kimberly Keeton, Hewlett Packard Andrew Pavlo, Carnegie Mellon University"
2017,CHI,Kinecting with Orangutans: Zoo Visitors' Empathetic Responses to Animals' Use of Interactive Technology,https://www.semanticscholar.org/paper/0216ea56ae8764bc5bc632a3c1dde1135ea9473a,"Sarah Webber, University of Melbourne ; et al. Marcus Carter, University of Melbourne Sally Sherwen, Zoos Victoria Wally Smith, University of Melbourne Zaher Joukhadar, University of Melbourne Frank Vetere, University of Melbourne"
2017,CHI,"Organic Primitives: Synthesis and Design of pH-Reactive Materials using Molecular I/O for Sensing, Actuation, and Interaction",https://www.semanticscholar.org/paper/20502a4d26aa5ac781006e75dc27cbb52a3fcd98,"Viirj Kan, Massachusetts Institute of Technology ; et al. Emma Vargo, Massachusetts Institute of Technology Noa Machover, Massachusetts Institute of Technology Hiroshi Ishii, Massachusetts Institute of Technology Serena Pan, Massachusetts Institute of Technology Weixuan Chen, Massachusetts Institute of Technology Yasuaki Kakehi, Keio University"
2017,CHI,Understanding Public Evaluation: Quantifying Experimenter Intervention,https://www.semanticscholar.org/paper/9a1eb3a5ba85ea2455349f74849577069c2b9742,"Julie R. Williamson & John Williamson, University of Glasgow"
2017,CHI,Designing Gamified Applications that Make Safe Driving More Engaging,https://www.semanticscholar.org/paper/b5e8c1f00292f67219f3bc74c07769a3ce29d028,"Fabius Steinberger, Queensland University of Technology ; et al. Ronald Schroeter, Queensland University of Technology Marcus Foth, Queensland University of Technology Daniel Johnson, Queensland University of Technology"
2017,CHI,Illumination Aesthetics: Light as a Creative Material within Computational Design,https://www.semanticscholar.org/paper/a818f94643e8aab91ccca8b3efbca159f9dab49d,"Cesar Torres, University of California, Berkeley ; et al. Jasper O'Leary, University of California, Berkeley Molly Nicholas, University of California, Berkeley Eric Paulos, University of California, Berkeley"
2017,CHI,Empowered participation: How Citizens Use Technology in Local Governance,https://scholar.google.com/scholar?as_q=&num=10&btnG=Search+Scholar&as_epq=Empowered+participation:+How+Citizens+Use+Technology+in+Local+Governance&as_oq=&as_eq=&as_occt=any&as_sauthors=Erete,"Sheena Erete, DePaul University Jennifer O. Burrell, MadX LLC"
2017,CHI,Stories from Survivors: Privacy & Security Practices when Coping with Intimate Partner Abuse,https://scholar.google.com/scholar?as_q=&num=10&btnG=Search+Scholar&as_epq=Stories+from+Survivors:+Privacy+&+Security+Practices+when+Coping+with+Intimate+Partner+Abuse&as_oq=&as_eq=&as_occt=any&as_sauthors=Matthews,"Tara Matthews, Google ; et al. Kathleen O'Leary, University of Washington Anna Turner, Google Manya Sleeper, Google Jill Palzkill Woelfer, Google Martin Shelton, Google Cori Manthorne, Community Overcoming Relationship Abuse Elizabeth F. Churchill, Google Sunny Consolvo, Google"
2017,CHI,ShareVR: Enabling Co-Located Experiences for Virtual Reality between HMD and Non-HMD Users,https://www.semanticscholar.org/paper/4c18b646863d47336a871af57fd8b75a32617116,"Jan Gugenheimer, University of Ulm ; et al. Evgeny Stemasov, University of Ulm Julian Frommel, University of Ulm Enrico Rukzio, University of Ulm"
2017,CHI,Examining Menstrual Tracking to Inform the Design of Personal Informatics Tools,https://www.semanticscholar.org/paper/ecc022fa1266d35a0cbf171cf501db7fa495bb99,"Daniel A. Epstein, University of Washington ; et al. Nicole B. Lee, Independent Researcher Jennifer H. Kang, University of Washington Elena Agapie, University of Washington Jessica Schroeder, University of Washington Laura R. Pina, University of Washington James Fogarty, University of Washington Julie A. Kientz, University of Washington Sean Munson, University of Washington"
2017,CHI,Explaining the Gap: Visualizing One's Predictions Improves Recall and Comprehension of Data,https://www.semanticscholar.org/paper/eea27124377394792d42e4b3c573c5356eba01cd,"Yea-Seul Kim, University of Washington ; et al. Katharina Reinecke, University of Washington Jessica Hullman, University of Washington"
2017,CHI,mHealth for Maternal Mental Health: Everyday Wisdom in Ethical Design,https://www.semanticscholar.org/paper/3bcfde95a61d10486c254e2f9c8b436495348a88,"Marguerite Barry, Trinity College Dublin ; et al. Kevin Doherty, Trinity College Dublin Jose Marcano Belisario, Imperial College London Josip Car, Imperial College London Cecily Morrison, Imperial College London Gavin Doherty, Trinity College Dublin"
2017,CHI,A Critical Lens on Dementia and Design in HCI,https://www.semanticscholar.org/paper/4d08b26e2a1f0952237a1c616da9149a8aa3a30e,"Amanda Lazar, Northwestern University ; et al. Caroline Edasis, Mather LifeWays Anne Marie Piper, Northwestern University"
2017,CHI,What Is Interaction?,https://www.semanticscholar.org/paper/1b9e912a20c4ad9632ce3c5a90ab9b6e70c531ff,"Kasper Hornbæk, University of Copenhagen Antti Oulasvirta, Aalto University"
2017,CHI,BIGnav: Bayesian Information Gain for Guiding Multiscale Navigation,https://www.semanticscholar.org/paper/c805b234ef25ff06ddc250c3652a53e5454716d8,"Wanyu Liu, Paris-Saclay University ; et al. Rafael Lucas D'Oliveira, University of Campinas Michel Beaudouin-Lafon, Paris-Saclay University Olivier Rioul, Paris-Saclay University"
2017,CHI,Modelling Learning of New Keyboard Layouts,https://www.semanticscholar.org/paper/96567f78cb93e573a706b94b60b8429ddae7bdec,"Jussi P. P. Jokinen, Aalto University ; et al. Sayan Sarcar, Kochi University of Technology Antti Oulasvirta, Aalto University Chaklam Silpasuwanchai, Kochi University of Technology Zhenxin Wang, Kochi University of Technology Xiangshi Ren, Kochi University of Technology"
2017,CHI,Flash Organizations: Crowdsourcing Complex Work by Structuring Crowds As Organizations,https://www.semanticscholar.org/paper/873f19f1218931c64bf34c1ef8222bf81c0a1bf0,"Melissa A. Valentine, Stanford University ; et al. Daniela Retelny, Stanford University Alexandra To, Carnegie Mellon University Negar Rahmati, Stanford University Tulsee Doshi, Stanford University Michael Bernstein, Stanford University"
2017,CHI,Reflective Practicum: A Framework of Sensitising Concepts to Design for Transformative Reflection,https://www.semanticscholar.org/paper/d2597fc897ea36740c899da73237e2b69ea71079,"Petr Slovák, TU Wien ; et al. Christopher Frauenberger, TU Wien Geraldine Fitzpatrick, TU Wien"
2017,CHI,Fingertip Tactile Devices for Virtual Object Manipulation and Exploration,https://scholar.google.com/scholar?as_q=&num=10&btnG=Search+Scholar&as_epq=Fingertip+Tactile+Devices+for+Virtual+Object+Manipulation+and+Exploration&as_oq=&as_eq=&as_occt=any&as_sauthors=Schorr,"Samuel B. Schorr & Allison M. Okamura, Stanford University"
2017,CHI,What Can Be Predicted from Six Seconds of Driver Glances?,https://www.semanticscholar.org/paper/8af646de6b4c1ec70b78685a5a3ed3205b3b6985,"Lex Fridman, Massachusetts Institute of Technology ; et al. Heishiro, Toyoda Toyota Collaborative Safety Research Center Sean Seaman, Touchstone Evaluations Bobbie Seppelt, Touchstone Evaluations Linda Angell, Touchstone Evaluations Joonbum Lee, Massachusetts Institute of Technology Bruce Mehler, Massachusetts Institute of Technology Bryan Reimer, Massachusetts Institute of Technology"
2017,CHI,Design and Evaluation of a Data-Driven Password Meter,https://www.semanticscholar.org/paper/747b322690c8c3408304bdaf05baca02ec4e141f,"Blase Ur, University of Chicago ; et al. Felicia Alfieri, Carnegie Mellon University Maung Aung, Carnegie Mellon University Lujo Bauer, Carnegie Mellon University Nicolas Christin, Carnegie Mellon University Jessica Colnago, Carnegie Mellon University Lorrie Faith Cranor, Carnegie Mellon University Henry Dixon, Carnegie Mellon University Pardis Emami Naeini, Carnegie Mellon University Hana Habib, Carnegie Mellon University Noah Johnson, Carnegie Mellon University William Melicher, Carnegie Mellon University"
